S/N,Code,Description,Table,Classification,Cleaned_Description
408,SB801P,"PATELLA, RECURRENT DISLOCATION/CHONDROMALACIA, RECONSTRUCTION",4B,Existing,patella recurrent dislocationchondromalacia reconstruction
409,SB802P,"PATELLA, VARIOUS LESIONS, PATELLECTOMY",3A,Existing,patella various lesion patellectomy
410,SB700R,"RADIUS AND ULNA, FRACTURE/DISLOCATION, NON UNION/DELAYED UNION BONE GRAFTING AND RE- FIXATION",5A,Existing,radius ulna fracturedislocation non uniondelayed union bone grafting fixation
411,SB701R,"RADIUS AND ULNA, FRACTURE/DISLOCATION, NON UNION/DELAYED UNION BONE GRAFTING ONLY",3C,Existing,radius ulna fracturedislocation non uniondelayed union bone grafting
412,SB800R,"RADIUS (HEAD), VARIOUS LESIONS, EXCISION",3B,Existing,radius head various lesion excision
413,SB801R,"RADIUS AND ULNA, FRACTURE/DISLOCATION, OPEN REDUCTION AND INTERNAL FIXATION WITH OR WITHOUT BONE GRAFTING",4B,Existing,radius ulna fracturedislocation open reduction internal fixation without bone grafting
414,SB700S,"SHOULDER, THERAPEUTIC ARTHROSCOPY",4A,Existing,shoulder therapeutic arthroscopy
415,SB701S,"SHOULDER FRACTURE/DISLOCATION, OPEN REDUCTION AND INTERNAL FIXATION (2 PART FRACTURE)",4A,Existing,shoulder fracturedislocation open reduction internal fixation 2 part fracture
416,SB702S,"SHOULDER FRACTURE/DISLOCATION, OPEN REDUCTION AND INTERNAL FIXATION (3 OR MORE PART FRACTURE)",5A,Existing,shoulder fracturedislocation open reduction internal fixation 3 part fracture
417,SB704S,"SACRUM, FRACTURE, OPEN REDUCTION AND INTERNAL FIXATION",5C,Existing,sacrum fracture open reduction internal fixation
418,SB705S,"SCAPULA, SCAPULAR FRACTURE, OPEN REDUCTION AND INTERNAL FIXATION (ORIF) WITH PLATING",5A,Existing,scapula scapular fracture open reduction internal fixation orif plating
419,SB707S,"SHOULDER, SHOULDER SOFT TISSUE INJURY, BANKART OR SUPERIOR LABRUM FROM ANTERIOR TO POSTERIOR (SLAP) REPAIR",5A,Descriptor change,shoulder shoulder soft tissue injury bankart superior labrum anterior posterior slap repair
420,SB708S,"SHOULDER, SHOULDER SOFT TISSUE INJURY, BANKART REPAIR WITH SUPERIOR LABRUM FROM ANTERIOR TO POSTERIOR (SLAP) REPAIR/ROTATOR CUFF REPAIR",5B,Descriptor change,shoulder shoulder soft tissue injury bankart repair superior labrum anterior posterior slap repairrotator cuff repair
421,SB709S,"SHOULDER, SHOULDER SOFT TISSUE INJURY, DECOMPRESSION ALONE",5A,Descriptor change,shoulder shoulder soft tissue injury decompression alone
422,SB710S,"SHOULDER, SHOULDER SOFT TISSUE INJURY, DECOMPRESSION WITH CUFF REPAIR",5B,Descriptor change,shoulder shoulder soft tissue injury decompression cuff repair
423,SB711S,"SHOULDER, SHOULDER SOFT TISSUE INJURY, DECOMPRESSION WITH CUFF REPAIR & EXCISION OF DISTAL CLAVICLE",5C,Descriptor change,shoulder shoulder soft tissue injury decompression cuff repair excision distal clavicle
424,SB712S,"SHOULDER, SHOULDER SOFT TISSUE INJURY, DECOMPRESSION WITH EXCISION OF DISTAL CLAVICLE",5A,"Descriptor
change",shoulder shoulder soft tissue injury decompression excision distal clavicle
425,SB713S,"SHOULDER, SHOULDER SOFT TISSUE INJURY, SHOULDER RECONSTRUCTION (EG, BRISTOW/LATARJET PROCEDURE)",5B,Existing,shoulder shoulder soft tissue injury shoulder reconstruction eg bristowlatarjet procedure
426,SB714S,"SHOULDER, VARIOUS LESIONS,  PRIMARY TOTAL JOINT REPLACEMENT WITH AUGMENTATION, REQUIRING EXTRA IMPLANTS OR BONE GRAFTS",6B,Descriptor change,shoulder various lesion primary total joint replacement augmentation requiring extra implant bone graft
427,SB715S,"SHOULDER, VARIOUS LESIONS, PRIMARY TOTAL JOINT REPLACEMENT",6A,Descriptor change,shoulder various lesion primary total joint replacement
428,SB716S,"SHOULDER, VARIOUS LESIONS, REVISION TOTAL JOINT REPLACEMENT",6C,Descriptor change,shoulder various lesion revision total joint replacement
429,SB722S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS, POSTERIOR DECOMPRESSION AND/OR DISCECTOMY WITHOUT INSERTION OF INTERSPINOUS DEVICE (2 OR MORE SEGMENTS) WITHOUT INSTRUMENTED FUSION",6B,Existing,spine excluding cervical spine various lesion posterior decompression andor discectomy without insertion interspinous device 2 segment without instrumented fusion
430,SB723S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS, POSTERIOR DECOMPRESSION AND/OR DISCECTOMY WITHOUT INSERTION OF INTERSPINOUS DEVICE (1 SEGMENT) WITHOUT INSTRUMENTED FUSION",6A,Existing,spine excluding cervical spine various lesion posterior decompression andor discectomy without insertion interspinous device 1 segment without instrumented fusion
431,SB724S,"SPINE, REMOVAL OF SPINE IMPLANTS WITHOUT OTHER PROCEDURES (POSTERIOR APPROACH)",3B,Existing,spine removal spine implant without procedure posterior approach
432,SB725S,"SPINE, REMOVAL OR REVISION OF PORT E.G. PORT-A- CATH",MSP,Existing,spine removal revision port eg porta cath
433,SB726S,"SPINE, VARIOUS LESIONS, REVISION SURGERY, DECOMPRESSION AND/OR DISCECTOMY, WITHOUT INSTRUMENTATION",6A,Existing,spine various lesion revision surgery decompression andor discectomy without instrumentation
434,SB728S,"SPINE, VARIOUS LESIONS, ANTERIOR DECOMPRESSION, CORPECTOMY, DEBRIDEMENT, BIOPSY STABILISATION WITHOUT INSTRUMENTATION",6B,Existing,spine various lesion anterior decompression corpectomy debridement biopsy stabilisation without instrumentation
435,SB730S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS, INTERBODY FUSION (SINGLE SEGMENT) WITH ANTERIOR/POSTERIOR INSTRUMENTATION",7A,Existing,spine excluding cervical spine various lesion interbody fusion single segment anteriorposterior instrumentation
436,SB731S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS - INTERBODY FUSION (SINGLE SEGMENT) WITHOUT ANTERIOR/POSTERIOR INSTRUMENTATION",6B,"Uptable, Descriptor
change,",spine excluding cervical spine various lesion interbody fusion single segment without anteriorposterior instrumentation
437,SB733S,"CERVICAL SPINE, VARIOUS LESIONS, ANTERIOR DECOMPRESSION AND FUSION AND/OR DISC REPLACEMENT (3 OR MORE SEGMENTS)",7A,Descriptor change,cervical spine various lesion anterior decompression fusion andor disc replacement 3 segment
438,SB735S,"SPINE, DISCOGRAM (MORE THAN 2 LEVELS)",3A,Existing,spine discogram 2 level
439,SB736S,"SPINE, DISCOGRAM (1 TO 2 LEVELS)",2B,Existing,spine discogram 1 2 level
440,SB737S,"SPINE, PERCUTANEOUS DISC ABLATION, 2 OR MORE LEVELS (EG. IDET - INTRADISCAL ELECTROTHERMAL ANNULOPLASTY)",4C,Existing,spine percutaneous disc ablation 2 level eg idet intradiscal electrothermal annuloplasty
441,SB738S,"SPINE, PERCUTANEOUS DISC ABLATION, SINGLE LEVEL (EG IDET - INTRADISCAL ELECTROTHERMAL ANNULOPLASTY)",4A,Existing,spine percutaneous disc ablation single level eg idet intradiscal electrothermal annuloplasty
442,SB739S,"SPINE, VERTEBROPLASTY OR KYPHOPLASTY (MULTIPLE LEVELS)",4C,Existing,spine vertebroplasty kyphoplasty multiple level
443,SB740S,"SPINE, VERTEBROPLASTY OR KYPHOPLASTY (SINGLE LEVEL)",4A,Existing,spine vertebroplasty kyphoplasty single level
444,SB741S,"SPINE, VARIOUS LESIONS - POSTERIOR INSTRUMENTATION (5 OR MORE SEGMENTS) WITH/WITHOUT DECOMPRESSION AND WITHOUT INTERBODY FUSION",7C,"Uptable, Descriptor change,",spine various lesion posterior instrumentation 5 segment withwithout decompression without interbody fusion
445,SB742S,"SCAPULA, COMPLEX SCAPULAR FRACTURE (WITH/WITHOUT GLENOHUMERAL JOINT INVOLVEMENT), OPEN REDUCTION AND INTERNAL FIXATION (ORIF)",5B,Existing,scapula complex scapular fracture withwithout glenohumeral joint involvement open reduction internal fixation orif
446,SB745S,"CERVICAL SPINE, CLOSED REDUCTION WITHOUT APPLICATION OF SKULL DEVICES OR OTHER PROCEDURES",MSP,Existing,cervical spine closed reduction without application skull device procedure
447,SB746S,"CERVICAL SPINE, APPLICATION OF HALO DEVICE WITHOUT OTHER PROCEDURES",1A,Existing,cervical spine application halo device without procedure
448,SB747S,"SPINE, REMOVAL OF SPINE IMPLANTS WITHOUT OTHER PROCEDURES (ANTERIOR APPROACH)",4B,Existing,spine removal spine implant without procedure anterior approach
449,SB748S,"SPINE, INFECTION, POSTERIOR DRAINAGE AND DEBRIDEMENT WITHOUT FUSION OR OTHER PROCEDURES",3C,Existing,spine infection posterior drainage debridement without fusion procedure
450,SB749S,"SPINE, INFECTION, POSTERIOR DRAINAGE, DEBRIDEMENT AND REMOVAL OF IMPLANTS, WITHOUT FUSION OR OTHER PROCEDURES",4B,Existing,spine infection posterior drainage debridement removal implant without fusion procedure
451,SB750S,"SPINE, INFECTION, ANTERIOR DRAINAGE AND DEBRIDEMENT WITHOUT FUSION OR OTHER PROCEDURES",4A,Existing,spine infection anterior drainage debridement without fusion procedure
452,SB751S,"SPINE, INFECTION, ANTERIOR DRAINAGE, DEBRIDEMENT AND REMOVAL OF IMPLANTS WITHOUT FUSION OR OTHER PROCEDURES",4C,Existing,spine infection anterior drainage debridement removal implant without fusion procedure
453,SB752S,"SPINE, VARIOUS LESIONS - POSTERIOR INSTRUMENTATION (1 OR 2 SEGMENTS) WITH/WITHOUT DECOMPRESSION AND WITHOUT INTERBODY FUSION",7A,"Uptable, Descriptor change,",spine various lesion posterior instrumentation 1 2 segment withwithout decompression without interbody fusion
454,SB753S,"SPINE, VARIOUS LESIONS - POSTERIOR INSTRUMENTATION (3 OR 4 SEGMENTS) WITH/WITHOUT DECOMPRESSION AND WITHOUT INTERBODY FUSION",7B,"Uptable, Descriptor change,",spine various lesion posterior instrumentation 3 4 segment withwithout decompression without interbody fusion
455,SB754S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS - INTERBODY FUSION (TWO SEGMENTS) WITH ANTERIOR/POSTERIOR INSTRUMENTATION",7B,Descriptor change,spine excluding cervical spine various lesion interbody fusion two segment anteriorposterior instrumentation
456,SB755S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS, ANTERIOR CORPECTOMY AND FUSION WITH/WITHOUT INSTRUMENTATION (SINGLE VERTEBRAE)",7A,Existing,spine excluding cervical spine various lesion anterior corpectomy fusion withwithout instrumentation single vertebra
457,SB756S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS, ANTERIOR CORPECTOMY AND FUSION WITH/WITHOUT INSTRUMENTATION (TWO OR MORE VERTEBRA)",7B,Existing,spine excluding cervical spine various lesion anterior corpectomy fusion withwithout instrumentation two vertebra
458,SB757S,"SPINE, VARIOUS LESIONS, REVISION SURGERY, DECOMPRESSION AND/OR DISCECTOMY, WITH REVISION OF INSTRUMENTATION",6B,Existing,spine various lesion revision surgery decompression andor discectomy revision instrumentation
459,SB758S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS, POSTERIOR DECOMPRESSION AND/OR DISCECTOMY WITH INSERTION OF INTERSPINOUS DEVICE (2 OR MORE SEGMENTS) WITHOUT INSTRUMENTED FUSION",6C,Existing,spine excluding cervical spine various lesion posterior decompression andor discectomy insertion interspinous device 2 segment without instrumented fusion
460,SB759S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS, POSTERIOR DECOMPRESSION AND/OR DISCECTOMY WITH INSERTION OF INTERSPINOUS DEVICE (1 SEGMENT) WITHOUT INSTRUMENTED FUSION",6B,Existing,spine excluding cervical spine various lesion posterior decompression andor discectomy insertion interspinous device 1 segment without instrumented fusion
461,SB760S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS - INTERBODY FUSION (THREE OR MORE SEGMENTS) WITH ANTERIOR/POSTERIOR INSTRUMENTATION",7C,New,spine excluding cervical spine various lesion interbody fusion three segment anteriorposterior instrumentation
462,SB800S,"SHOULDER, DEFORMITIES, CORRECTIVE SURGERY, OSTEOTOMY",5C,Existing,shoulder deformity corrective surgery osteotomy
463,SB801S,"SHOULDER, ACROMIOCLAVICULAR JOINT STABILISATION/RECONSTRUCTION",5B,Existing,shoulder acromioclavicular joint stabilisationreconstruction
464,SB802S,"SHOULDER, VARIOUS LESIONS, HEMIARTHROPLASTY",5C,Existing,shoulder various lesion hemiarthroplasty
465,SB803S,"SOFT TISSUE (LOWER LIMB), SMALL TUMORS (BENIGN), EXCISION UNDER LOCAL ANESTHESIA",MSP,Existing,soft tissue lower limb small tumor benign excision local anesthesia
466,SB805S,"CERVICAL SPINE, VARIOUS LESIONS, LAMINOPLASTY (WITHOUT INSTRUMENTATION)",6B,Existing,cervical spine various lesion laminoplasty without instrumentation
467,SB806S,"CERVICAL SPINE, EXCISION OF CERVICAL RIB",4C,Existing,cervical spine excision cervical rib
468,SB807S,"CERVICAL SPINE, CLOSED REDUCTION WITH APPLICATION OF SKULL DEVICES BUT WITHOUT OTHER PROCEDURES",1A,Existing,cervical spine closed reduction application skull device without procedure
469,SB808S,"SPINE, DEFORMITIES, THREE-COLUMN OSTEOTOMY (SUCH AS PSO, VCR, TOTAL SPONDYLECTOMY OR THEIR EQUIVALENT)",7C,Existing,spine deformity threecolumn osteotomy pso vcr total spondylectomy equivalent
470,SB810S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS - INTERBODY FUSION (TWO SEGMENTS) WITHOUT ANTERIOR/POSTERIOR INSTRUMENTATION",6C,"Uptable, Descriptor change,",spine excluding cervical spine various lesion interbody fusion two segment without anteriorposterior instrumentation
471,SB811S,"SPINE, PROLAPSED DISC, NUCLEOPLASTY",3C,Existing,spine prolapsed disc nucleoplasty
472,SB819S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS - INTERBODY FUSION (THREE OR MORE SEGMENTS) WITHOUT ANTERIOR/POSTERIOR INSTRUMENTATION",7A,New,spine excluding cervical spine various lesion interbody fusion three segment without anteriorposterior instrumentation
473,SB814S,"SPINE, SYRINGOMYELIA, LAMINECTOMY AND DRAINAGE",6B,Existing,spine syringomyelia laminectomy drainage
474,SB818S,"SPINE, VARIOUS LESIONS, SPINAL RHIZOLYSIS INVOLVING EXPOSURE OF SPINAL NERVE ROOTS",6B,Existing,spine various lesion spinal rhizolysis involving exposure spinal nerve root
475,SB700T,"TENDON (UPPER LIMB/ LOWER LIMB), VARIOUS LESIONS, TENDON TRANSFER (MULTIPLE)",5C,Descriptor change,tendon upper limb lower limb various lesion tendon transfer multiple
476,SB701T,"TIBIA, FRACTURE, OPEN REDUCTION AND INTERNAL FIXATION WITH PLATES AND SCREWS, COMMINUTED",5C,Existing,tibia fracture open reduction internal fixation plate screw comminuted
477,SB702T,"TIBIA, TIBIAL PLATEAU, COMMINUTED BICONDYLAR, ORIF",5B,Existing,tibia tibial plateau comminuted bicondylar orif
478,SB703T,"TIBIA, TIBIAL PLATEAU, UNICONDYLAR COMMINUTED/SIMPLE BICONDYLAR, ORIF",5A,Existing,tibia tibial plateau unicondylar comminutedsimple bicondylar orif
479,SB704T,"TIBIA, TIBIAL PLATEAU, UNICONDYLAR, ORIF",4B,Existing,tibia tibial plateau unicondylar orif
480,SB705T,"TIBIA, TIBIAL SHAFT FRACTURE, INTRAMEDULLARY NAILING (LOCKED/UNLOCKED)",4B,Existing,tibia tibial shaft fracture intramedullary nailing lockedunlocked
481,SB711T,"TIBIA, LENGTH DISCREPANCIES, GRADUAL LENGTHENING PROCEDURES WITH OSTEOTOMY AND INTRAMEDULLARY NAIL",5A,New,tibia length discrepancy gradual lengthening procedure osteotomy intramedullary nail
482,SB707T,"TOES, VARIOUS LESIONS, RAY AMPUTATION (TWO TO FOUR RAYS)",2C,Existing,toe various lesion ray amputation two four ray
483,SB708T,"TOES, VARIOUS LESIONS, RAY AMPUTATION (SINGLE)",1C,Existing,toe various lesion ray amputation single
484,SB709T,"TOES, TOE DEFORMITY",1C,Existing,toe toe deformity
485,SB710T,"TOES, TOE DEFORMITY, MULTIPLE/COMPLEX",3B,Existing,toe toe deformity multiplecomplex
486,SB800T,"TENDON (PERONEAL), SUBLUXATION, RECONSTRUCTION",4A,Existing,tendon peroneal subluxation reconstruction
487,SB801T,"TENDON (UPPER LIMB), BOWSTRINGING/ENTRAPMENT, PULLEY RECONSTRUCTION",3B,Existing,tendon upper limb bowstringingentrapment pulley reconstruction
488,SB802T,"TENDON (UPPER LIMB), CONTRACTURE, TENOTOMY",2C,Existing,tendon upper limb contracture tenotomy
489,SB803T,"TENDON (UPPER LIMB), VARIOUS LESIONS, TENDON TRANSFER (SINGLE)",4A,Existing,tendon upper limb various lesion tendon transfer single
490,SB804T,"TENDON SHEATH (UPPER LIMB), DE QUERVAIN'S (BILATERAL), RELEASE",3C,Existing,tendon sheath upper limb de quervains bilateral release
491,SB805T,"TENDON SHEATH (UPPER LIMB), DE QUERVAIN'S (UNILATERAL), RELEASE",3A,Existing,tendon sheath upper limb de quervains unilateral release
492,SB806T,"TENDON SHEATH (UPPER LIMB), GANGLION/VILLO- NODULAR SYNOVITIS, EXCISION",2B,Existing,tendon sheath upper limb ganglionvillo nodular synovitis excision
493,SB807T,"TENDON SHEATH (UPPER LIMB), TENOSYNOVITIS (MULTIPLE), DRAINAGE",3B,Existing,tendon sheath upper limb tenosynovitis multiple drainage
494,SB808T,"TENDON SHEATH (UPPER LIMB), TENOSYNOVITIS (SINGLE), DRAINAGE",2B,Existing,tendon sheath upper limb tenosynovitis single drainage
495,SB809T,"TENDON-ACHILLES (LOWER LIMB), DISRUPTION, REPAIR",3A,Existing,tendonachilles lower limb disruption repair
496,SB810T,"TENDON-EXTENSOR (UPPER LIMB), ADHESION, TENOLYSIS (MULTIPLE)",5A,Existing,tendonextensor upper limb adhesion tenolysis multiple
497,SB811T,"TENDON-EXTENSOR (UPPER LIMB), ADHESION, TENOLYSIS (SINGLE)",4A,Existing,tendonextensor upper limb adhesion tenolysis single
498,SB812T,"TENDON-EXTENSOR (UPPER LIMB), INJURY, REPAIR (MULTIPLE)",3A,Existing,tendonextensor upper limb injury repair multiple
499,SB813T,"TENDON-EXTENSOR (UPPER LIMB), INJURY, REPAIR (SINGLE)",2C,Existing,tendonextensor upper limb injury repair single
500,SB814T,"TENDON-FLEXOR (LOWER LIMB), DISRUPTION, REPAIR (SINGLE)",2C,Existing,tendonflexor lower limb disruption repair single
501,SB815T,"TENDON-FLEXOR (UPPER LIMB), ADHESION, TENOLYSIS (MULTIPLE)",5C,Existing,tendonflexor upper limb adhesion tenolysis multiple
502,SB816T,"TENDON-FLEXOR (UPPER LIMB), ADHESION, TENOLYSIS (SINGLE)",4A,Existing,tendonflexor upper limb adhesion tenolysis single
503,SB817T,"TENDON-FLEXOR (UPPER LIMB), DEFECT, GRAFTING (MULTIPLE)",6B,Existing,tendonflexor upper limb defect grafting multiple
504,SB818T,"TENDON-FLEXOR (UPPER LIMB), DEFECT, GRAFTING (SINGLE)",5C,Existing,tendonflexor upper limb defect grafting single
505,SB819T,"TENDON-FLEXOR (UPPER LIMB), INJURY, REPAIR (MULTIPLE)",4B,Existing,tendonflexor upper limb injury repair multiple
506,SB820T,"TENDON-FLEXOR (UPPER LIMB), INJURY, REPAIR (SINGLE)",3B,Existing,tendonflexor upper limb injury repair single
507,SB821T,"TENDON-FLEXOR (UPPER LIMB), INJURY, TENDON GRAFT",4C,Existing,tendonflexor upper limb injury tendon graft
508,SB822T,"TENDONS-FLEXOR (LOWER LIMB), DISRUPTION, REPAIR (MULTIPLE)",3B,Existing,tendonsflexor lower limb disruption repair multiple
509,SB823T,"THUMB, DEFORMITIES, CORRECTION",4A,Existing,thumb deformity correction
510,SB824T,"THUMB, PARALYSIS, OPPONENS PLASTY",4B,Existing,thumb paralysis opponens plasty
511,SB825T,"THUMB, VARIOUS LESIONS, POLLICISATION OR MICROSURGICAL RECONSTRUCTION",6B,Existing,thumb various lesion pollicisation microsurgical reconstruction
512,SB826T,"TIBIA, DELAYED/NON-UNION, RECONSTRUCTION",5C,Existing,tibia delayednonunion reconstruction
513,SB827T,"TIBIA, FRACTURE(S), OPEN REDUCTION AND INTERNAL FIXATION WITH INTRAMEDULLARY ROD",4B,Existing,tibia fracture open reduction internal fixation intramedullary rod
514,SB828T,"TIBIA, FRACTURE, OPEN REDUCTION AND INTERNAL FIXATION WITH PLATES AND SCREWS, SIMPLE",5A,Existing,tibia fracture open reduction internal fixation plate screw simple
515,SB829T,"TOES, VARIOUS LESIONS, TOE AMPUTATION (TWO TO FOUR TOES)",2C,Existing,toe various lesion toe amputation two four toe
516,SB830T,"TOES, VARIOUS LESIONS, TOE AMPUTATION (SINGLE)",1C,Existing,toe various lesion toe amputation single
517,SB831T,"TOES, VARIOUS LESIONS, ARTHRODESIS",2C,Existing,toe various lesion arthrodesis
518,SB832T,"TENDON, EXTENSOR (UPPER LIMB), DEFECT, GRAFTING (MULTIPLE)",5A,Existing,tendon extensor upper limb defect grafting multiple
519,SB833T,"TENDON, EXTENSOR (UPPER LIMB), DEFECT, GRAFTING (SINGLE)",4A,Existing,tendon extensor upper limb defect grafting single
520,SB834T,"WEDGE RESECTION OF TOE NAIL (SINGLE TOE), MEDIAL AND/OR LATERAL, SIMPLE OR COMPLEX",1C,Existing,wedge resection toe nail single toe medial andor lateral simple complex
521,SB835T,"WEDGE RESECTION OF TOE NAIL (MULTIPLE TOES), MEDIAL AND/OR LATERAL, SIMPLE OR COMPLEX",2B,Existing,wedge resection toe nail multiple toe medial andor lateral simple complex
522,SB836T,"TENDON (LOWER LIMB), VARIOUS LESIONS, TENDON TRANSFER (SINGLE",4A,New,tendon lower limb various lesion tendon transfer single
523,SB837T,"TENDON (LOWER LIMB), CONTRACTURE TENOTOMY, WITH/WITHOUT CAST APPLICATION",3A,New,tendon lower limb contracture tenotomy withwithout cast application
524,SB701U,"UPPER LIMB/LOWER LIMB, MAJOR SOFT TISSUE DEFECTS, FREE FLAP",7C,Existing,upper limblower limb major soft tissue defect free flap
525,SB702U,"UPPER LIMB/LOWER LIMB, MAJOR SOFT TISSUE DEFECTS, PEDICLED FLAP",5C,Existing,upper limblower limb major soft tissue defect pedicled flap
526,SB703U,"UPPER LIMB/LOWER LIMB, MALIGNANT TUMOUR, SOFT TISSUE, RADICAL EXCISION",5C,Existing,upper limblower limb malignant tumour soft tissue radical excision
527,SB704U,"UPPER LIMB/LOWER LIMB, UPPER LIMB FRACTURES, MINIMALLY INVASIVE FIXATION",4B,Existing,upper limblower limb upper limb fracture minimally invasive fixation
528,SB800U,"UPPER LIMB, CONGENITAL DEFORMITY, MAJOR RECONSTRUCTION",6B,Existing,upper limb congenital deformity major reconstruction
529,SB801U,"UPPER LIMB, DEFORMITY, BONY AND SOFT TISSUE RECONSTRUCTION",5C,Existing,upper limb deformity bony soft tissue reconstruction
530,SB802U,"UPPER LIMB, FRACTURE/DISLOCATION, MANIPULATION AND REDUCTION",1B,Existing,upper limb fracturedislocation manipulation reduction
531,SB803U,"UPPER LIMB, ISCHEMIA, FASCIOTOMY",2B,Existing,upper limb ischemia fasciotomy
532,SB804U,"UPPER LIMB, TRAUMA, MAJOR REPLANTATION",7B,Existing,upper limb trauma major replantation
533,SB805U,"UPPER LIMB, VARIOUS LESIONS, AMPUTATION",5C,Existing,upper limb various lesion amputation
534,SB806U,"UPPER LIMB, VARIOUS LESIONS, FOREQUARTER AMPUTATION",6B,Existing,upper limb various lesion forequarter amputation
535,SB807U,"UPPER LIMB, VARIOUS LESIONS, VASCULARISED FREE MUSCLE TRANSFER",7A,Existing,upper limb various lesion vascularised free muscle transfer
536,SB808U,"UPPER LIMB/LOWER LIMB, OPEN/CLOSED REDUCTION AND DEFINITIVE FIXATION WITH RING EXTERNAL FIXATION WITH/WITHOUT WOUND DEBRIDEMENT",5A,New,upper limblower limb openclosed reduction definitive fixation ring external fixation withwithout wound debridement
537,SB809U,UPPER LIMB / LOWER LIMB RING EXTERNAL FIXATOR WITH GRADUAL DEFORMITY CORRECTION / LENGTHENING / SHORTENING / BONE TRANSPORT,6A,New,upper limb lower limb ring external fixator gradual deformity correction lengthening shortening bone transport
538,SB810U,"UPPER LIMB/LOWER LIMB DEFORMITY AND LIMB LENGTH DEFORMITY, OSTEOTOMY/OSTEOTOMIES FOR ACUTE DEFORMITY CORRECTION AND USE OF INTRAMEDULLARY LENGTHENING NAIL DEVICE FOR GRADUAL LIMB LENGTHENING",6A,New,upper limblower limb deformity limb length deformity osteotomyosteotomies acute deformity correction use intramedullary lengthening nail device gradual limb lengthening
539,SB700W,"WRIST, THERAPEUTIC ARTHROSCOPY",4A,Existing,wrist therapeutic arthroscopy
540,SB701W,"WRIST, AVASCULAR NECROSIS, RADIAL RECESSION/ULNAR LENGTHENING,",4C,Existing,wrist avascular necrosis radial recessionulnar lengthening
541,SB702W,"WRIST, DISTAL OR RADIAL ULNAR JOINT (DRUJ) INSTABILITY, COMPLEX LIGAMENT RECONSTRUCTION",4B,Existing,wrist distal radial ulnar joint druj instability complex ligament reconstruction
542,SB703W,"WRIST, DISTAL OR RADIAL ULNAR JOINT (DRUJ) INSTABILITY, DARRACH OR SIMILAR PROCEDURE",3A,Existing,wrist distal radial ulnar joint druj instability darrach similar procedure
543,SB704W,"WRIST, DISTAL RADIUS FRACTURE, M&R, PERCUTANEOUS PINNING",3B,Existing,wrist distal radius fracture mr percutaneous pinning
544,SB705W,"WRIST, DISTAL RADIUS FRACTURE, OPEN REDUCTION AND INTERNAL FIXATION (ORIF) (SIMPLE OPEN REDUCTION AND PINNING)",3C,Existing,wrist distal radius fracture open reduction internal fixation orif simple open reduction pinning
545,SB706W,"WRIST, DISTAL RADIUS FRACTURE, OPEN REDUCTION AND INTERNAL FIXATION (ORIF) (COMPLEX, WITH AUTOLOGOUS BONE GRAFT)",4C,Existing,wrist distal radius fracture open reduction internal fixation orif complex autologous bone graft
546,SB707W,"WRIST, DISTAL RADIUS FRACTURE, OPEN REDUCTION AND INTERNAL FIXATION (ORIF) (WITH ULNAR HEAD/STYLOID FIXATION/TFCC REPAIR)",4C,Existing,wrist distal radius fracture open reduction internal fixation orif ulnar headstyloid fixationtfcc repair
547,SB708W,"WRIST, JOINT, VARIOUS LESIONS, PROXIMAL ROW CARPECTOMY OR 4 CORNER FUSION",5C,Existing,wrist joint various lesion proximal row carpectomy 4 corner fusion
548,SB709W,"WRIST, LUNATE DISLOCATION/PERILUNATE DISLOCATION/COMPLEX LIGAMENT INJURY, RECONSTRUCTION",6B,Existing,wrist lunate dislocationperilunate dislocationcomplex ligament injury reconstruction
549,SB710W,"WRIST, SCAPHOID FRACTURE, OPEN REDUCTION AND INTERNAL FIXATION (ORIF) WITH BONE GRAFTING",4B,Existing,wrist scaphoid fracture open reduction internal fixation orif bone grafting
550,SB711W,"WRIST, SCAPHOID OR CARPUS, VASCULARISED BONE GRAFT",4C,Existing,wrist scaphoid carpus vascularised bone graft
551,SB712W,"WRIST, ULNAR HEAD/STYLOID FRACTURE, PERCUTANEOUS PINNING/FIXATION",2B,Existing,wrist ulnar headstyloid fracture percutaneous pinningfixation
552,SB713W,"WRIST, VARIOUS LESIONS, PRIMARY TOTAL JOINT ARTHROPLASTY WITH AUGMENTATION, REQUIRING EXTRA IMPLANTS OR BONE GRAFTS",6B,Descriptor change,wrist various lesion primary total joint arthroplasty augmentation requiring extra implant bone graft
553,SB714W,"WRIST, VARIOUS LESIONS, PRIMARY TOTAL JOINT ARTHROPLASTY",6A,Descriptor change,wrist various lesion primary total joint arthroplasty
