S/N,Code,Description,Table,Classification,Cleaned_Description,X,Y
135,SB817F,"FINGER, RING CONSTRICTION (MULTIPLE), CORRECTION",5C,Existing,finger ring constriction multiple correction,1.411443,10.553849
26,SC700T,"THORAX, CATHETER BLOCKAGE, IMAGING GUIDED CATHETER CHANGE/CATHETER ADJUSTMENT/CHECK TUBE",1A,Existing,thorax catheter blockage imaging guided catheter changecatheter adjustmentcheck tube,-0.7867758,9.957127
16,SM802E,"EAR (MIDDLE), VARIOUS LESIONS, EXPLORATION AND TYMPANOTOMY",3A,Existing,ear middle various lesion exploration tympanotomy,-0.80535865,12.246244
30,SH818P,"PENIS, TRAUMA, REPAIR OF LACERATION/FRACTURE INVOLVING CAVERNOUS TISSUE",2C,Existing,penis trauma repair lacerationfracture involving cavernous tissue,-3.1916254,9.028331
12,SG711B,"BLADDER, CYSTOSCOPY, WITH ENDOSCOPIC REMOVAL/MANIPULATION OF URETERIC CALCULUS",3B,Existing,bladder cystoscopy endoscopic removalmanipulation ureteric calculus,-1.5900795,8.185975
25,SE809L,"LYMPH NODE (SINGLE), VARIOUS LESIONS, EXCISION BIOPSY",1A,Existing,lymph node single various lesion excision biopsy,2.7191901,14.357518
56,SH702T,"TESTIS, VARIOCOELE, SPERMATIC VEIN EMBOLISATION",4A,Existing,testis variocoele spermatic vein embolisation,-0.7597049,9.446092
18,SH806P,"PENIS, HYPOSPADIAS, URETHRAL RECONSTRUCTION",4A,Existing,penis hypospadias urethral reconstruction,-2.9279525,8.752521
511,SB825T,"THUMB, VARIOUS LESIONS, POLLICISATION OR MICROSURGICAL RECONSTRUCTION",6B,Existing,thumb various lesion pollicisation microsurgical reconstruction,0.8832025,10.629789
16,SA802B,"BREAST, DIFFUSE HYPERTROPHY, REDUCTION MAMMOPLASTY >500G (BILATERAL)",6A,Existing,breast diffuse hypertrophy reduction mammoplasty 500g bilateral,0.8310061,13.391744
65,SL809E,"EYE, PERFORATING WOUND (WITH INCARCERATION/PROLAPSE OF UVEAL TISSUE/LENS/VITREOUS), REPAIR",3C,Existing,eye perforating wound incarcerationprolapse uveal tissuelensvitreous repair,6.982126,8.3406725
88,SB801E,"ELBOW, FRACTURE/ DISLOCATION, REPAIR OF LIGAMENTS/ ORIF",4B,Existing,elbow fracture dislocation repair ligament orif,2.5990627,8.618132
46,SG703K,"KIDNEY, CYST, IMAGING GUIDED PERCUTANEOUS ASPIRATION",2A,Existing,kidney cyst imaging guided percutaneous aspiration,-1.3375417,9.771858
38,SL707E,"EYE, GLAUCOMA, GONIOSYNECHIOLYSIS",3B,Existing,eye glaucoma goniosynechiolysis,7.2364664,8.04092
343,SF804T,"TONGUE, TONGUE TIE, RELEASE",1A,Existing,tongue tongue tie release,-0.6191558,13.2268915
136,SL702O,"ORBIT, RECONSTRUCTION, EXTENSIVE FLOOR/MEDIAL WALL FRACTURE",5A,Existing,orbit reconstruction extensive floormedial wall fracture,-1.348873,13.60269
160,SL704R,"RETINA/MACULA, GRID AND FOCAL LASER PHOTOCOAGULATION",3A,Existing,retinamacula grid focal laser photocoagulation,-1.9171133,11.771707
371,SB829M,"MAXILLA, DEFORMITY - LEFORT III, OSTEOTOMY",7C,Existing,maxilla deformity lefort iii osteotomy,2.3828752,10.644512
455,SB754S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS - INTERBODY FUSION (TWO SEGMENTS) WITH ANTERIOR/POSTERIOR INSTRUMENTATION",7B,Descriptor change,spine excluding cervical spine various lesion interbody fusion two segment anteriorposterior instrumentation,-2.7113695,5.1613703
67,SG726K,"KIDNEY/URETER, RETROGRADE INTRARENAL SURGERY OR RIRS USING FLEXIBLE URETEROSCOPY (DIAGNOSTIC)",2C,Existing,kidneyureter retrograde intrarenal surgery rirs using flexible ureteroscopy diagnostic,-0.009451524,9.635034
169,SL700T,TEMPORAL ARTERY BIOPSY,2B,Existing,temporal artery biopsy,0.19708677,9.87253
266,SB812J,"BONE/JOINTS (LOWER LIMB), MAJOR CRUSH INJURIES, WOUND DEBRIDEMENT",3B,Existing,bonejoints lower limb major crush injury wound debridement,2.794502,10.957468
147,SI717V,"VULVA, MALIGNANT CONDITION, RADICAL VULVECTOMY + GROIN + PELVIC NODE DISSECTION",6C,Existing,vulva malignant condition radical vulvectomy groin pelvic node dissection,-2.4355211,9.707692
200,SA800T,"TENDON SHEATH AND SUBCUTANEOUS TISSUE, GANGLION/SMALL BURSA, (<3CM) EXCISION BIOPSY",1C,Existing,tendon sheath subcutaneous tissue ganglionsmall bursa 3cm excision biopsy,4.365156,9.328772
10,SJ704T,"THYROID, BENIGN, SINGLE/MULTIPLE NODULE, IMAGING GUIDED PERCUTANEOUS LOCAL ABLATION (ETHANOL, LASER MICROWAVE, RADIOFREQUENCY)13",3B,New,thyroid benign singlemultiple nodule imaging guided percutaneous local ablation ethanol laser microwave radiofrequency13,-1.7433132,15.843713
123,SM705S,"SINUSES, ETHMOIDAL, VARIOUS LESIONS, EXTERNAL OPERATION",5C,Existing,sinus ethmoidal various lesion external operation,4.3204207,12.142946
7,SI706C,"CERVIX, TRANSCERVICAL RESECTION (TCR) SEPTUM, HYSTEROSCOPIC",3A,Existing,cervix transcervical resection tcr septum hysteroscopic,-2.7850006,9.657426
18,SG717B,"BLADDER, CYSTOSCOPY, WITH URETERIC MEATOTOMY/WITH RESECTION OF URETEROCELE",3B,Existing,bladder cystoscopy ureteric meatotomywith resection ureterocele,-1.5405247,8.158176
67,SK703L,"SYMPATHETIC NERVES, BLOCK, ANAESTHETIC (UNILATERAL/BILATERAL)",1B,Existing,sympathetic nerve block anaesthetic unilateralbilateral,2.8909576,4.1468983
69,SI705U,"UTERUS, ELONGATED CERVIX, CYSTOCOELE, RECTOCOELE, AMPUTATION OF CERVIX + ANTERIOR REPAIR + POSTERIOR REPAIR",4B,Existing,uterus elongated cervix cystocoele rectocoele amputation cervix anterior repair posterior repair,-3.474063,10.505333
149,SF810E,"ESOPHAGUS, VARICES, ESOPHAGEAL/TRANSECTION WITH SPLENECTOMY",6B,Existing,esophagus varix esophagealtransection splenectomy,-0.1679231,8.309188
164,SD706V,"VEIN, PERIPHERAL VEINS (UPPER/LOWER LIMBS/DIALYSIS ARTERIOVENUS FISTULA/ARTERIOVENUS GRAFT FISTULA), VARIOUS LESIONS, DIAGNOSTIC VENOGRAPHY",2A,Existing,vein peripheral vein upperlower limbsdialysis arteriovenus fistulaarteriovenus graft fistula various lesion diagnostic venography,-0.17061959,9.816666
64,SK700L,"SYMPATHETIC NERVES, BLOCK, CATHETER (UNILATERAL/BILATERAL)",2B,Existing,sympathetic nerve block catheter unilateralbilateral,2.9193594,4.0933814
142,SI712V,"VAGINA/RECTUM, RECTO VAGINAL FISTULA, COMPLEX RECTAL/TRANSPERINEAL APPROACH WITHOUT COLOSTOMY",4C,Existing,vaginarectum recto vaginal fistula complex rectaltransperineal approach without colostomy,-3.096845,10.450921
204,SF809L,"LIVER, TRAUMA/TUMOR, EXTENDED LOBECTOMY (5 SEGMENTS/MORE)",7C,Existing,liver traumatumor extended lobectomy 5 segmentsmore,-2.0095925,7.7423472
392,SB850M,"MUSCLE (UPPER LIMB), VARIOUS LESIONS, MARGINAL EXCISION",2C,Existing,muscle upper limb various lesion marginal excision,3.6598153,9.724235
274,SF804P,"PALATE, CLEFT, UVULOPHARYNGOPLASTY",5C,Existing,palate cleft uvulopharyngoplasty,0.23323897,8.5608225
74,SK706N,"COELIAC PLEXUS, BLOCK, NEUROLYTIC",2B,Existing,coeliac plexus block neurolytic,2.8371236,16.029446
40,SF817A,"ABDOMINAL WALL, INGUINAL HERNIA (INFANTS & CHILDREN), HERNIOTOMY (BILATERAL)",4A,Existing,abdominal wall inguinal hernia infant child herniotomy bilateral,-3.7994409,3.9522023
99,SK733N,"PERIPHERAL NERVE, BLOCK, ANAESTHETIC (UP TO 2 NERVES)",1A,Existing,peripheral nerve block anaesthetic 2 nerve,3.0259798,4.1317453
165,SF802G,"GALLBLADDER, VARIOUS LESIONS, CHOLECYSTECTOMY AND CHOLEDOCHO- JEJUNOSTOMY/DUODENOSTOMY/GASTROSTOMY",5C,Existing,gallbladder various lesion cholecystectomy choledocho jejunostomyduodenostomygastrostomy,-4.254224,7.91904
181,SI830V,"VULVA, LACERATION, DEBRIDEMENT/SUTURE <5CM (SIMPLE)",MSP,Existing,vulva laceration debridementsuture 5cm simple,-3.3912005,11.628637
123,SL804L,"LACRIMAL GLAND/DUCT, VARIOUS LESIONS, DACROCYSTORHINOSTOMY (ENDOSCOPIC/NON- ENDOSCOPIC) OR CONJUNCTIVAL-DCR (LESTER JONES TUBE)",5C,Existing,lacrimal glandduct various lesion dacrocystorhinostomy endoscopicnon endoscopic conjunctivaldcr lester jones tube,-1.0783843,10.528185
68,SL812E,"EYE, SQUINT, OPERATION (ONE/BOTH EYES - ADJUSTABLE SUTURES)",4A,Existing,eye squint operation oneboth eye adjustable suture,6.925312,8.285869
88,SK720N,"NERVE (UPPER LIMB), DEFECT, GRAFTING/INTERFASCICULAR REPAIR/NEUROVASCULAR TRANSFER",6B,Existing,nerve upper limb defect graftinginterfascicular repairneurovascular transfer,4.070413,9.129927
61,SC810T,"THORAX, VARIOUS LESIONS, THORACOPLASTY (IN STAGES) - EACH STAGE",4A,Existing,thorax various lesion thoracoplasty stage stage,-3.2249863,9.166313
192,SD806V,"VEIN, VARICOSITY, HIGH LIGATION AND COMPLETE STRIPPING/EXCISION OF SHORT SAPHENOUS VEIN",3B,Existing,vein varicosity high ligation complete strippingexcision short saphenous vein,0.7573348,8.081251
176,SI825V,"VULVA, HEMATOMA, EVACUATION > 5CM (COMPLICATED/MORE THAN 1)",2A,Existing,vulva hematoma evacuation 5cm complicatedmore 1,-3.3616014,11.603587
44,SA832B,"IPSILATERAL MASTOPEXY/REDUCTION FOLLOWING BREAST, TUMOUR (MALIGNANT) WIDE EXCISION/LUMPECTOMY/SEGMENTAL OR PARTIAL MASTECTOMY, WITH OR WITHOUT SENTINEL NODE BIOPSY AND/OR AXILLARY CLEARANCE",4A,Existing,ipsilateral mastopexyreduction following breast tumour malignant wide excisionlumpectomysegmental partial mastectomy without sentinel node biopsy andor axillary clearance,3.179883,13.621915
73,SI710U,"UTERUS, FIBROIDS, UTERINE ARTERY EMBOLIZATION",3C,Existing,uterus fibroid uterine artery embolization,0.076976426,9.445277
75,SB702D,"DIGIT(S), SOFT TISSUE DEFECT, LARGE COMPLEX PEDICLED FLAPS",5C,Existing,digit soft tissue defect large complex pedicled flap,2.5344157,12.174571
69,SG728K,"KIDNEY TRANSPLANT, RECIPIENT, DUAL KIDNEY TRANSPLANT (MARGINAL DONOR)",7A,Existing,kidney transplant recipient dual kidney transplant marginal donor,-2.5081303,7.8833976
39,SD738A,"AORTA, THORACIC AORTIC ANEURYSM, THORACIC ENDOVASCULAR ANEURYSM REPAIR (TEVAR)",6C,Existing,aorta thoracic aortic aneurysm thoracic endovascular aneurysm repair tevar,1.7089814,7.4298377
102,SA806S,"SKIN AND SUBCUTANEOUS TISSUE, BURNS, ESCHAROTOMY (EXTENSIVE)",2A,Existing,skin subcutaneous tissue burn escharotomy extensive,1.3442647,12.419283
285,SF815P,"PAROTID, TUMOR, TOTAL PAROTIDECTOMY WITH PARAPHARYNGEAL SPACE RESECTION AND FLAP RECONSTRUCTION",7B,Existing,parotid tumor total parotidectomy parapharyngeal space resection flap reconstruction,-0.3465803,9.524207
108,SA812S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT (DEEP), DERMOFAT/FASCIA GRAFT (INCLUDING TRANSPLANT/MUSCLE FLAP)",3A,Existing,skin subcutaneous tissue defect deep dermofatfascia graft including transplantmuscle flap,2.3737462,12.316624
138,SM720S,"SINUSES-NASAL, VARIOUS LESIONS, LAVAGE THROUGH AN ORO-ANTRAL PERFORATION",MSP,Existing,sinusesnasal various lesion lavage oroantral perforation,-0.3179996,10.6577215
115,SK800N,"NERVE, VARIOUS LESIONS, BIOPSY",1B,Existing,nerve various lesion biopsy,-0.6694915,10.298312
125,SM707S,"SINUSES, NASAL, HEMATOMA/ABSCESS, ANTRAL DRAINAGE",2B,Existing,sinus nasal hematomaabscess antral drainage,4.464798,12.248572
133,SF805D,"DUODENUM, ULCER, VAGOTOMY - ALL TYPES",5C,Existing,duodenum ulcer vagotomy type,-0.052966777,9.265518
37,SL706E,"EYE, GLAUCOMA, CYCLODESTRUCTIVE PROCEDURES",3B,Existing,eye glaucoma cyclodestructive procedure,7.2403903,8.040157
72,SK701N,"NERVE ROOT, BLOCK (INJECTION OF ANAESTHETIC, THERAPEUTIC SUBSTANCE) - CERVICAL, 1 LEVEL",2A,Existing,nerve root block injection anaesthetic therapeutic substance cervical 1 level,2.770344,4.587074
513,SB827T,"TIBIA, FRACTURE(S), OPEN REDUCTION AND INTERNAL FIXATION WITH INTRAMEDULLARY ROD",4B,Existing,tibia fracture open reduction internal fixation intramedullary rod,1.5713913,5.1660476
73,SA709S,"SKIN, SURGICAL TREATMENT FOR VITILIGO (INVOLVING NON-CULTURED CELLULAR GRAFTING) (>40 SQ CM)",4B,Existing,skin surgical treatment vitiligo involving noncultured cellular grafting 40 sq cm,-0.71148694,10.839406
13,SL704C,"CORNEA, RIBOFLAVIN-UVA INDUCED COLLAGEN CROSSLINKING TREATMENT FOR CORNEAL ECTASIA (CXL-CROSSLINKING LASER/POST LASIK KERATECTOMY/KERATITIS)",3B,Existing,cornea riboflavinuva induced collagen crosslinking treatment corneal ectasia cxlcrosslinking laserpost lasik keratectomykeratitis,-1.9178025,10.891321
61,SM708L,"LARYNX, TUMOR, LARYNGECTOMY (TOTAL)",5C,Existing,larynx tumor laryngectomy total,-0.23472407,13.018089
282,SB832J,"JOINTS (UPPER LIMB, EXCEPT SHOULDER), SEPTIC ARTHRITIS, SIMPLE DRAINAGE",2B,Existing,joint upper limb except shoulder septic arthritis simple drainage,4.1182947,10.279397
34,SG813B,"BLADDER, VARIOUS LESIONS, OPEN PARTIAL EXCISION",3B,Existing,bladder various lesion open partial excision,-1.4395628,8.526548
224,SF713M,"MOUTH, SUBLINGUAL GLAND, TUMOR, EXCISION BIOPSY",2C,Existing,mouth sublingual gland tumor excision biopsy,0.016881928,10.691373
132,SL814L,"LENS, VARIOUS LESIONS, SECONDARY INTRA-OCULAR LENS IMPLANTATION WITHOUT VITRECTOMY15",4A,Descriptor change,lens various lesion secondary intraocular lens implantation without vitrectomy15,7.590982,6.54173
191,SF709L,"LIVER, VARIOUS LESIONS, MIS ULTRASOUND AND LOCAL ABLATION INCLUDING RADIO-FREQUENCY ABLATION",4B,Existing,liver various lesion mi ultrasound local ablation including radiofrequency ablation,-1.7304622,15.754962
206,SB817H,"HAND, SOFT TISSUE TUMOR, EXCISION <1.5CM",2A,Existing,hand soft tissue tumor excision 15cm,2.6436648,11.330199
2,SC700B,"LUNG, BRONCHOSCOPY, INSERTION OF PROSTHESIS6",3B,Descriptor change,lung bronchoscopy insertion prosthesis6,1.5565885,8.49539
127,SF702D,"DUODENUM, TUMOUR, PANCREAS PRESERVING DUODENECTOMY WITH RECONSTRUCTION OF AMPULLA",7C,Existing,duodenum tumour pancreas preserving duodenectomy reconstruction ampulla,0.23672621,9.156684
353,SF814T,"TOOTH, DISLOCATION, REIMPLANTATION AND TRANSPLANTATION",3A,Existing,tooth dislocation reimplantation transplantation,0.13080685,9.570437
73,SM701M,"MOUTH, CAUTERY OF SOFT PALATE /TONGUE BASE",2B,Existing,mouth cautery soft palate tongue base,-0.6359259,12.928073
1,SH700G,"GENITAL TRACT, VARIOUS LESIONS, HYSTEROSALPINGOGRAPHY",MSP,Existing,genital tract various lesion hysterosalpingography,-0.36734676,10.609149
544,SB705W,"WRIST, DISTAL RADIUS FRACTURE, OPEN REDUCTION AND INTERNAL FIXATION (ORIF) (SIMPLE OPEN REDUCTION AND PINNING)",3C,Existing,wrist distal radius fracture open reduction internal fixation orif simple open reduction pinning,1.6199647,5.0876827
51,SC800T,"THORAX, EMPYEMA, RESECTION OF RIB AND OPEN DRAINAGE",2C,Existing,thorax empyema resection rib open drainage,1.4102193,9.518828
146,SL803O,"ORBIT, VARIOUS LESIONS, ANTERIOR ORBITOTOMY",3B,Existing,orbit various lesion anterior orbitotomy,-1.3321513,13.643357
111,SI824U,"UTERUS, MALIGNANT CONDITION, ANTERIOR PELVIC EXENTERATION",6B,Existing,uterus malignant condition anterior pelvic exenteration,-2.3612168,9.592874
118,SM707P,"PHARYNX, TONGUE BASE, FOR OSA, EXCISION OF LINGUAL TONSILS",3B,Existing,pharynx tongue base osa excision lingual tonsil,-0.68321157,13.050596
149,SA854S,"SKIN AND SUBCUTANEOUS TISSUE, WOUND (LARGE>3CM), SECONDARY SUTURE",1B,Existing,skin subcutaneous tissue wound large3cm secondary suture,0.15964764,11.904728
26,SM812E,"EAR, FOREIGN BODY,  REMOVAL",MSP,Existing,ear foreign body removal,5.1330795,11.084563
192,SF710L,"LIVER, VARIOUS LESIONS, TRANSJUGULAR LIVER BIOPSY",3B,Existing,liver various lesion transjugular liver biopsy,-2.0405965,7.7315116
493,SB807T,"TENDON SHEATH (UPPER LIMB), TENOSYNOVITIS (MULTIPLE), DRAINAGE",3B,Existing,tendon sheath upper limb tenosynovitis multiple drainage,4.3808107,9.293463
63,SC812T,"THORAX, VARIOUS LESIONS, THORACOTOMY FOR PLEURECTOMY/PLEURODESIS/ ENUCLEATION  HYDATID CYSTS",3C,Existing,thorax various lesion thoracotomy pleurectomypleurodesis enucleation hydatid cyst,1.3895229,9.41068
119,SG821U,"URETHRA, STRICTURE, URETHROTOMY",2C,Existing,urethra stricture urethrotomy,-4.3016024,10.392852
196,SF801L,"LIP, VARIOUS LESIONS, FULL THICKNESS WEDGE EXCISION WITH REPAIR",2C,Existing,lip various lesion full thickness wedge excision repair,-0.2944447,11.515837
135,SM717S,"SINUSES FRONTAL, VARIOUS LESIONS, CATHETERISATION",1A,Existing,sinus frontal various lesion catheterisation,4.3588867,12.169979
502,SB816T,"TENDON-FLEXOR (UPPER LIMB), ADHESION, TENOLYSIS (SINGLE)",4A,Existing,tendonflexor upper limb adhesion tenolysis single,4.3463535,8.650782
56,SL726E,"EYE, SQUINT, OPERATION (ONE/BOTH EYES - 2 MUSCLES)",3B,Existing,eye squint operation oneboth eye 2 muscle,6.9370265,8.2777195
95,SD711H,"HEART, EXTERNAL CARDIAC PACING",MSP,Existing,heart external cardiac pacing,0.49884024,6.660269
79,SD701B,"BLOOD VESSELS (LARGE), DISRUPTION/OBSTRUCTION, REPAIR WITH AUTOGENOUS VEIN GRAFTING",5C,Existing,blood vessel large disruptionobstruction repair autogenous vein grafting,1.0515487,8.649769
2,SK701A,"ARTERY, EXTRACRANIAL, VARIOUS LESIONS, BALLOON TEST OCCLUSION",3B,Existing,artery extracranial various lesion balloon test occlusion,0.377393,9.11448
234,SF806M,"MOUTH, CLEFT LIP, SECONDARY CORRECTION",4A,Existing,mouth cleft lip secondary correction,0.09846078,8.473086
21,SI812C,"CERVIX, VARIOUS LESIONS, CRYOSURGERY",MSP,Existing,cervix various lesion cryosurgery,-3.0604799,9.961429
10,SF711A,"ANAL INCONTINENCE, ARTIFICIAL BOWEL SPHINCTER INSERTION",5A,Existing,anal incontinence artificial bowel sphincter insertion,0.07410123,8.3127775
168,SA873S,"SKIN, BURNS SCAR/TATTOO (1% TO 2%), LASER EXCISION",2B,"Descriptor
change",skin burn scartattoo 1 2 laser excision,1.4302343,12.639253
531,SB803U,"UPPER LIMB, ISCHEMIA, FASCIOTOMY",2B,Existing,upper limb ischemia fasciotomy,3.8286185,9.498525
317,SF801S,"SACRUM & COCCYX, TUMOR, EXCISION WITH BIOPSY",6B,Existing,sacrum coccyx tumor excision biopsy,-0.17058787,11.260521
27,SA813B,"BREAST, LUMPS (MULTIPLE/BILATERAL), EXCISION BIOPSY",3A,Existing,breast lump multiplebilateral excision biopsy,-0.42413118,11.177542
110,SF707C,"COLON, COLONOSCOPY (SCREENING), FIBREOPTIC WITH REMOVAL OF POLYPS (MULTIPLE MORE THAN 1CM)",3B,Existing,colon colonoscopy screening fibreoptic removal polyp multiple 1cm,-0.32839748,7.0737944
48,SL717E,"EYELID, PTOSIS, CONJUNCTIVAL MULLERECTOMY (UNILATERAL)",3B,Existing,eyelid ptosis conjunctival mullerectomy unilateral,-2.2393014,11.949391
171,SD713V,"VEIN, VARICOSE VEINS, IMAGING GUIDED ENDOVENOUS LASER TREATMENT, 1 LEG",3B,Existing,vein varicose vein imaging guided endovenous laser treatment 1 leg,-0.19327232,9.741891
8,SE707L,"LYMPH NODE (PELVIC) DISSECTION, UNILATERAL/BILATERAL",5A,Descriptor change,lymph node pelvic dissection unilateralbilateral,2.5878558,14.415177
52,SI806O,"OVARY, TUMOR/CYST, OOPHORECTOMY/SALPINGO- OOPHORECTOMY (COMPLICATED)",4A,Existing,ovary tumorcyst oophorectomysalpingo oophorectomy complicated,-1.4259022,9.213481
143,SL800O,"ORBIT, CONTRACTURE, RECONSTRUCTION INCLUDING MUCOUS MEMBRANE GRAFTING AND STENT MOULD",4A,Existing,orbit contracture reconstruction including mucous membrane grafting stent mould,-0.7894592,10.368033
37,SI807F,"FALLOPIAN TUBE, PERITUBAL ADHESIONS, SALPINGOLYSIS (MACROSURGERY)",4A,Existing,fallopian tube peritubal adhesion salpingolysis macrosurgery,0.74555135,15.216668
42,SA829B,"BREAST, VARIOUS LESIONS, TRUCUT BIOPSY",1A,Existing,breast various lesion trucut biopsy,-0.5782965,10.888213
151,SK727S,"SPINAL CORD, TUMOURS, LAMINECTOMY AND EXCISION (INTRADURAL EXTRAMEDULLARY)",6C,Existing,spinal cord tumour laminectomy excision intradural extramedullary,-2.1840665,10.210931
72,SG800K,"KIDNEY AND URETER, VARIOUS LESIONS, NEPHROURETERECTOMY OPEN",5C,Existing,kidney ureter various lesion nephroureterectomy open,-2.099002,9.209473
139,SF800E,"ESOPHAGUS, ACHALASIA, CARDIOMYOTOMY",4A,Descriptor change,esophagus achalasia cardiomyotomy,-0.1777871,8.101151
146,SK721S,"SKULL, BURR HOLE, INSERTION OF INTRACRANIAL PRESSURE (ICP) MONITOR",3B,Existing,skull burr hole insertion intracranial pressure icp monitor,-1.9640098,12.669005
410,SB700R,"RADIUS AND ULNA, FRACTURE/DISLOCATION, NON UNION/DELAYED UNION BONE GRAFTING AND RE- FIXATION",5A,Existing,radius ulna fracturedislocation non uniondelayed union bone grafting fixation,1.8573103,10.655407
101,SK736N,"PERIPHERAL NERVE, BLOCK, NEUROLYTIC (UP TO 2 NERVES)",1B,Existing,peripheral nerve block neurolytic 2 nerve,3.0426898,4.0894713
110,SK746N,"NERVE-FACIAL PARALYSIS, FREE FASCIA AND/OR NERVE GRAFT (MICROSURGICAL – STAGE 1)",3B,Existing,nervefacial paralysis free fascia andor nerve graft microsurgical stage 1,-1.9253923,9.672015
118,SF800C,"COLON, COLOSTOMY, CLOSURE WITHOUT RESECTION OF BOWEL",4A,Existing,colon colostomy closure without resection bowel,-0.41814965,7.5899615
318,SF803S,"STOMACH, MORBID OBESITY, BYPASS ONLY",4A,Existing,stomach morbid obesity bypass,-0.5844711,8.560948
294,SB709K,"KNEE, LIGAMENTS/MENISCUS/CARTILAGE/BONE COMBINED, AUTOLOGOUS CHONDROCYTE IMPLANTATION WITH OSTEOTOMY",6A,Existing,knee ligamentsmeniscuscartilagebone combined autologous chondrocyte implantation osteotomy,2.6965964,7.6375575
37,SB808B,"BONE AND JOINTS (LOWER LIMB), PLATES AND SCREWS/NAILS, REMOVAL",2B,Existing,bone joint lower limb plate screwsnails removal,3.3984737,10.062174
352,SB810M,"MANDIBLE OR MAXILLA, ODONTOGENIC CYST, MARSUPIALIZATION",2B,Existing,mandible maxilla odontogenic cyst marsupialization,1.8659352,9.530118
321,SB808L,"LOWER LIMB, TRAUMATIC AMPUTATION, MAJOR REPLANTATION",7C,Existing,lower limb traumatic amputation major replantation,3.5810342,9.753767
32,SG811B,"BLADDER, VARIOUS LESION, ASPIRATION",MSP,Existing,bladder various lesion aspiration,-1.3265221,8.704097
521,SB835T,"WEDGE RESECTION OF TOE NAIL (MULTIPLE TOES), MEDIAL AND/OR LATERAL, SIMPLE OR COMPLEX",2B,Existing,wedge resection toe nail multiple toe medial andor lateral simple complex,3.2013698,9.029166
57,SI811O,"OVARY, TUMOUR/CYST, CYSTECTOMY, SIMPLE UNILATERAL",3B,New,ovary tumourcyst cystectomy simple unilateral,-1.3875937,9.175177
53,SL722E,"EYELIDS, BOTOX INJECTIONS FOR BLEPHAROSPASM & HEMIFACIAL SPASM",1C,Existing,eyelid botox injection blepharospasm hemifacial spasm,-1.2077221,10.969486
59,SA700R,"RADIOTHERAPY, ENDOLUMINAL BRACHYTHERAPY: OESOPHAGUS, NASOPHARYNGEAL CARCINOMA (NPC), HEPATOBILIARY, CARDIAC, LUNG, OTHERS",2B,Existing,radiotherapy endoluminal brachytherapy oesophagus nasopharyngeal carcinoma npc hepatobiliary cardiac lung others,-0.6488679,11.61541
432,SB725S,"SPINE, REMOVAL OR REVISION OF PORT E.G. PORT-A- CATH",MSP,Existing,spine removal revision port eg porta cath,-1.8521521,10.309311
86,SK718N,"NERVE DEFECT, PERIPHERAL GRAFT (MICROSURGERY)",5C,Existing,nerve defect peripheral graft microsurgery,3.0394013,4.145487
393,SB851M,"MUSCLE (UPPER LIMB), VARIOUS LESIONS, WIDE EXCISION",3C,Existing,muscle upper limb various lesion wide excision,3.6829035,9.735933
21,SL802C,"CONJUNCTIVA, PINGUECULA, REMOVAL",1B,Existing,conjunctiva pinguecula removal,-2.1198437,11.09703
113,SD731H,"HEART, VALVE (REPAIR / REPLACEMENT), 1 VALVE",6C,Existing,heart valve repair replacement 1 valve,0.8744978,7.3372746
161,SL705R,"RETINA, PAN RETINAL PHOTOCOAGULATION",3B,Existing,retina pan retinal photocoagulation,-2.02347,11.696188
78,SD700B,"BLOOD VESSELS, DEFECT, MAJOR GRAFTS (MULTIPLE)",6B,Existing,blood vessel defect major graft multiple,1.0495955,8.660749
94,SI800U,"URETHRA, CARUNCLE/POLYP, EXCISION/LASER VAPORISATION",1C,Existing,urethra carunclepolyp excisionlaser vaporisation,-4.1157517,10.6573305
56,SM703L,"LARYNX AND PHARYNX, VARIOUS LESIONS, LASER APPLICATION",3B,Existing,larynx pharynx various lesion laser application,-0.2669774,12.754728
25,SM811E,"EAR, EXOSTOSIS OBTURANS, EXCISION BIOPSY",3A,Existing,ear exostosis obturans excision biopsy,-0.75885206,11.57068
7,SM706E,"EAR, BILATERAL PREAURICULAR SINUS EXCISION",3A,Existing,ear bilateral preauricular sinus excision,-0.70531493,11.502901
113,SK749N,"NERVE-FACIAL PARALYSIS, LOCAL MUSCLE TRANSFER",5A,Existing,nervefacial paralysis local muscle transfer,-0.7017185,9.667966
507,SB821T,"TENDON-FLEXOR (UPPER LIMB), INJURY, TENDON GRAFT",4C,Existing,tendonflexor upper limb injury tendon graft,4.3945107,8.6275625
196,SD810V,"VEIN, VARIOUS LESIONS, BYPASS/GRAFT",5C,Existing,vein various lesion bypassgraft,-0.1118999,9.849507
546,SB707W,"WRIST, DISTAL RADIUS FRACTURE, OPEN REDUCTION AND INTERNAL FIXATION (ORIF) (WITH ULNAR HEAD/STYLOID FIXATION/TFCC REPAIR)",4C,Existing,wrist distal radius fracture open reduction internal fixation orif ulnar headstyloid fixationtfcc repair,1.6176592,5.091013
58,SH801T,"TESTIS, UNDESCENDED/ECTOPIC (BILATERAL), ORCHIDOPEXY/TRANSPLANTATION WITH HERNIA REPAIR",4A,Existing,testis undescendedectopic bilateral orchidopexytransplantation hernia repair,-3.6625578,4.1274195
