S/N,Code,Description,Table,Classification
280,SB828J,"JOINTS (UPPER LIMB),
FRACTURES/DISLOCATION/SPRAIN, FULL CAST",MSP,Existing
281,SB831J,"JOINTS (UPPER LIMB, EXCEPT SHOULDER), SEPTIC ARTHRITIS, DRAINAGE WITH CURRETAGE AND DEBRIDEMENT",3C,Existing
282,SB832J,"JOINTS (UPPER LIMB, EXCEPT SHOULDER), SEPTIC ARTHRITIS, SIMPLE DRAINAGE",2B,Existing
283,SB834J,"JOINTS (UPPER LIMB), VARIOUS LESIONS,
VASCULARISED JOINT TRANSFER",7C,Existing
284,SB835J,"JOINTS (WRIST), VARIOUS LESIONS, ARTHRODESIS",4B,Existing
285,SB700K,"KNEE, ARTHROSCOPY, KNEE LIGAMENT RECONSTRUCTION (1 OR MORE)",5C,Existing
286,SB701K,"KNEE, LIGAMENTS/MENISCUS/CARTILAGE/BONE COMBINED, MIS ACL OR PCL RECONSTRUCTION",5C,Existing
287,SB702K,"KNEE, HEMARTHROSIS, ASPIRATION UNDER LOCAL ANESTHESIA",MSP,Existing
288,SB703K,"KNEE, LIGAMENTS/MENISCUS/CARTILAGE/BONE COMBINED, MIS LIGAMENT RECONSTRUCTION WITH MENISCAL REPAIR",5C,Existing
289,SB704K,"KNEE, LIGAMENTS/MENISCUS/CARTILAGE/BONE COMBINED, MIS LIGAMENT RECONSTRUCTION WITH MENISCECTOMY",5C,Existing
290,SB705K,"KNEE, LIGAMENTS/MENISCUS/CARTILAGE/BONE COMBINED, MIS LIGAMENT RECONSTRUCTION WITH
MICROFRACTURE",5C,Existing
291,SB706K,"KNEE, LIGAMENTS/MENISCUS/CARTILAGE/BONE
COMBINED, MIS PRIMARY DOUBLE BUNDLE ACL OR PCL RECONSTRUCTION",6A,Existing
292,SB707K,"KNEE, LIGAMENTS/MENISCUS/CARTILAGE/BONE
COMBINED, MIS REVISION ACL RECONSTRUCTION",5C,Existing
293,SB708K,"KNEE, LIGAMENTS/MENISCUS/CARTILAGE/BONE COMBINED, MIS REVISION PCL RECONSTRUCTION",5C,Existing
294,SB709K,"KNEE, LIGAMENTS/MENISCUS/CARTILAGE/BONE COMBINED, AUTOLOGOUS CHONDROCYTE IMPLANTATION WITH OSTEOTOMY",6A,Existing
295,SB710K,"KNEE, LIGAMENTS/MENISCUS/CARTILAGE/BONE COMBINED, MOSAICPLASTY OR OSTEOARTICULAR TRANSFER SYSTEM (OATS) WITH OSTEOTOMY",6A,Existing
296,SB711K,"KNEE, LIGAMENTS/MENISCUS/CARTILAGE/BONE COMBINED, MULTI-LIGAMENTED KNEE RECONSTRUCTION (3 OR MORE LIGAMENTS)",6A,Existing
297,SB712K,"KNEE, MENISCUS/CARTILAGE ( SMALL DEFECTS ),
MOSAICPLASTY OR OATS",5C,"Descriptor
change"
298,SB713K,"KNEE, MENISCUS/CARTILAGE, MIS ASSISTED ALLOGRAFT MENISCAL TRANSPLANTATION",5C,Existing
299,SB714K,"KNEE, MENISCUS/CARTILAGE, MIS CARTILAGE
HARVESTING",4A,Existing
300,SB715K,"KNEE, MENISCUS/CARTILAGE, MIS MENISCAL REPAIR",5A,Existing
301,SB716K,"KNEE, VARIOUS LESIONS, PRIMARY TOTAL JOINT REPLACEMENT (UNILATERAL) WITH AUGMENTATION, REQUIRING EXTRA IMPLANTS OR BONE GRAFTS",6B,Descriptor change
302,SB717K,"KNEE, VARIOUS LESIONS, REVISION TOTAL JOINT REPLACEMENT",6C,Descriptor change
303,SB800K,"KNEE LIGAMENTS, DISRUPTION, RECONSTRUCTION AND REPAIR",5C,Existing
304,SB801K,"KNEE, DISLOCATION, OPEN REDUCTION WITH REPAIR OF LIGAMENTS",5C,Existing
305,SB802K,"KNEE, HEMARTHROSIS, ASPIRATION UNDER GENERAL ANESTHESIA",1A,Existing
306,SB803K,"KNEE, VARIOUS LESIONS, ARTHRODESIS",5A,Existing
307,SB804K,"KNEE, VARIOUS LESIONS, ARTHROTOMY",3B,Existing
308,SB805K,"KNEE, VARIOUS LESIONS, ARTHROTOMY AND
SYNOVECTOMY",4A,Existing
309,SB806K,"KNEE, VARIOUS LESIONS, EXCISION/INTERPOSITION ARTHROPLASTY",4A,Existing
310,SB808K,"KNEE, VARIOUS LESIONS, MENISCECTOMY WITH/WITHOUT ARTHROSCOPY",4A,Existing
311,SB809K,"KNEE, VARIOUS LESIONS, TOTAL JOINT REPLACEMENT (BILATERAL)",7B,Existing
312,SB810K,"KNEE, VARIOUS LESIONS, PRIMARY TOTAL JOINT REPLACEMENT (UNILATERAL)",6A,Descriptor change
313,SB700L,"LOWER LIMB, OPEN TENDON RELEASE (INCLUDING OPEN SOFT TISSUE RELEASES E.G. GASTROCNEMIUS RECESSION)",4B,Existing
314,SB800L,"LOWER LIMB, CRUSH INJURIES (EXTENSIVE),
DEBRIDEMENT WITH REPAIR OF BONE AND SOFT TISSUES",6B,Existing
315,SB801L,"LOWER LIMB, CRUSH INJURIES (LIMITED), DEBRIDEMENT WITH REPAIR OF BONE AND SOFT TISSUES",5A,Existing
316,SB802L,"LOWER LIMB, DEFORMITIES, EPIPHYSIODESIS",4A,Existing
317,SB803L,"LOWER LIMB, FRACTURES, OPEN REDUCTION AND
FIXATION WITH REPAIR OF ARTERIAL INJURIES",6B,Existing
318,SB804L,"LOWER LIMB, FRACTURES/DISLOCATION, MANIPULATION AND REDUCTION WITH/WITHOUT APPLICATION OF CAST",1B,Existing
319,SB806L,"LOWER LIMB, LENGTH DISCREPANCIES, SHORTENING
PROCEDURES",4B,Downtable
320,SB807L,"UPPER LIMB/LOWER LIMB, OPEN FRACTURES WITH DEBRIDEMENT AND EXTERNAL FIXATION (RING / MULTIPLANAR / UNIPLANAR)",4B,Descriptor change
321,SB808L,"LOWER LIMB, TRAUMATIC AMPUTATION, MAJOR REPLANTATION",7C,Existing
322,SB809L,"LOWER LIMB, VARIOUS LESIONS, AMPUTATION",4A,Existing
323,SB810L,"LOWER LIMB, VARIOUS LESIONS, APPLICATION OF CAST",MSP,Existing
324,SB811L,"LOWER LIMB, VARIOUS LESIONS, HINDQUARTER AMPUTATION",6B,Existing
325,SB812L,"LOWER LIMB, VARIOUS LESIONS, HIP DISARTICULATION",6B,Existing
326,SB813L,"UPPER LIMB/LOWER LIMB, CLOSED FRACTURES, EXTERNAL FIXATION (RING/ MULTIPLANAR / UNIPLANAR) WITHOUT DEBRIDEMENT OR OTHER PROCEDURES",3B,Descriptor change
327,SB814L,"LOWER LIMB, ISCHEMIA, FASCIOTOMY",3A,Existing
328,SB700M,"MANDIBLE AND MAXILLA, VARIOUS LESIONS, OSTEOTOMY AND INSERTION OF DEVICE FOR
DISTRACTION OSTEOGENESIS",7C,Existing
329,SB701M,"MANDIBLE OR MAXILLA, BONY PROTUBERANCE, EXCISION",1B,Existing
330,SB702M,"MANDIBLE OR MAXILLA, DENTAL IMPLANT(S), OSSEOINTEGRATED, TREPHINE REMOVAL (X NUMBER
OF IMPLANTS REMOVED)",1C,Existing
331,SB703M,"MANDIBLE OR MAXILLA, TUMOR, MARGINAL RESECTION
WITH BONE GRAFT",6B,Existing
332,SB704M,"MANDIBLE OR MAXILLA, VARIOUS LESIONS, SEGMENTAL OSTEOTOMY AND INSERTION OF DEVICE FOR DISTRACTION OSTEOGENESIS AND BONE TRANSPORT",5B,Existing
333,SB705M,"MANDIBLE OR MAXILLA, VARIOUS LESIONS, VESTIBULOPLASTY, COMPLEX",3C,Existing
334,SB706M,"MANDIBLE OR MAXILLA, VARIOUS LESIONS,
VESTIBULOPLASTY, SIMPLE",2B,Existing
335,SB707M,"MANDIBLE OR MAXILLA, VARIOUS LESIONS, DENTOALVEOLAR OSTEOTOMY AND INSERTION OF DEVICE FOR DISTRACTION OSTEOGENESIS",5A,Existing
336,SB708M,"MANDIBLE, ATROPHY, LATERALISATION OF INFERIOR DENTAL NERVE WITH IMPLANT FIXTURES PLACEMENT, BILATERAL.",5A,Existing
337,SB709M,"MANDIBLE, ATROPHY, LATERALISATION OF INFERIOR DENTAL NERVE WITH IMPLANT FIXTURES PLACEMENT, UNILATERAL",4B,Existing
338,SB710M,"MANDIBLE AND MAXILLA, OLD FRACTURES/OSTEOTOMY, REMOVAL OF PLATES OR WIRES",3B,Existing
339,SB711M,"MANDIBLE, VARIOUS LESIONS, BODY OR RAMUS OSTEOTOMY WITH INSERTION OF DISTRACTION
OSTEOGENESIS DEVICE",5C,Existing
340,SB712M,"MAXILLA, VARIOUS LESIONS, RESECTION WITH
RECONSTRUCTION",6B,Existing
341,SB713M,"MAXILLA, DEFORMITY, LE FORT I OSTEOTOMY AND INSERTION OF DISTRACTION OSTEOGENESIS DEVICE",5C,Existing
342,SB800M,"MANDIBLE (EXCLUDING ALVEOLAR MARGINS), VARIOUS
LESIONS, COMPLEX OSTEOTOMY/OSTECTOMY",6B,Existing
343,SB801M,"MANDIBLE AND MAXILLA, VARIOUS LESIONS, OSTEOTOMY INCLUDING SEGMENTAL OSTEOTOMY WITH/WITHOUT GRAFTING",7C,Existing
344,SB802M,"MANDIBLE OR MAXILLA, ALVEOLAR DEFECT/DEFORMITY, COMPLEX ALVEOLOPLASTY/UNILATERAL (LATERAL WINDOW) SINUS LIFT/RIDGE AUGMENTATION WITH GRAFTING",3A,Existing
345,SB803M,"MANDIBLE OR MAXILLA, ALVEOLAR DEFECT/DEFORMITY, SIMPLE ALVEOLOPLASTY/BONE REGENERATIVE PROCEDURE",2C,Existing
346,SB804M,"MANDIBLE, FRACTURE (COMMINUTED), OPEN REDUCTION AND FIXATION",5C,Existing
347,SB805M,"MANDIBLE, FRACTURE, CLOSED REDUCTION AND FIXATION",3B,Existing
348,SB806M,"MANDIBLE, FRACTURE, OPEN REDUCTION AND FIXATION",5A,Existing
349,SB807M,"MANDIBLE OR MAXILLA, ODONTOGENIC CYST (11- 20MM),
ENUCLEATION",3A,Existing
350,SB808M,"MANDIBLE OR MAXILLA, ODONTOGENIC CYST (20MM OR LARGER OR MULTIPLE CYSTS), ENUCLEATION",4A,Existing
351,SB809M,"MANDIBLE OR MAXILLA, ODONTOGENIC CYST (10MM OR
SMALLER), ENUCLEATION",2C,Existing
352,SB810M,"MANDIBLE OR MAXILLA, ODONTOGENIC CYST, MARSUPIALIZATION",2B,Existing
353,SB811M,"MANDIBLE OR MAXILLA, OLD FRACTURES / OSTEOTOMY, REMOVAL OF PLATES OR WIRES",2B,Existing
354,SB812M,"MANDIBLE OR MAXILLA, TUMOR, MARGINAL RESECTION",5C,Existing
355,SB813M,"MANDIBLE, VARIOUS LESIONS, ALVEOLECTOMY (PER QUADRANT)",2C,Existing
356,SB814M,"MANDIBLE OR MAXILLA, VARIOUS LESIONS, ALVEOLOPLASTY WITH EPITHELIAL GRAFT OR BILATERAL SINUS-LIFT PROCEDURE OR RIDGE
AUGMENTATION (MULTIPLE QUADRANTS) WITH GRAFTING",4A,Existing
357,SB815M,"MANDIBLE, VARIOUS LESIONS, GENIOPLASTY (COMPLEX
- NOT AS A COMBINED PROCEDURE)",5C,Existing
358,SB816M,"MANDIBLE OR MAXILLA, VARIOUS LESIONS, INSERTION OF ENDOSSEOUS DENTAL IMPLANT (SINGLE)(FOR MULTIPLE PLACEMENT OF IMPLANTS, NUMBER OF CLAIMS = NUMBER OF IMPLANTS PLACED )",2C,Existing
359,SB817M,"MANDIBLE AND/OR MAXILLA, VARIOUS LESIONS, INSERTION OF TRANSMANDIBULAR IMPLANT/ SUBPERIOSTEAL IMPLANT/ ZYGOMATICUS IMPLANT",5A,Existing
360,SB818M,"MANDIBLE, VARIOUS LESIONS, MANDIBULAR RAMUS/BODY  OSTECTOMY/OSTEOTOMY WITH SEGMENTAL OSTEOTOMY",6B,Existing
361,SB819M,"MANDIBLE, VARIOUS LESIONS, MANDIBULAR RAMUS/BODY OSTECTOMY/OSTEOTOMY WITHOUT
SEGMENTAL OSTEOTOMY",5C,Existing
362,SB820M,"MANDIBLE, VARIOUS LESIONS, RECONSTRUCTION WITH
BONE",5C,Existing
363,SB821M,"MANDIBLE, VARIOUS LESIONS, SEGMENTAL OSTECTOMY/OSTEOTOMY (ONE SEGMENT ONLY)",5A,Existing
364,SB822M,"MANDIBLE, VARIOUS LESIONS, SEGMENTAL RESECTION
WITH BONE GRAFT",6B,Existing
365,SB823M,"MANDIBLE, VARIOUS LESIONS, GENIOPLASTY (SIMPLE - NOT AS A COMBINED PROCEDURE)",5A,Existing
366,SB824M,"MAXILLA (EXCLUDING ALVEOLAR MARGINS) AND/OR ZYGOMA, VARIOUS LESIONS, COMPLEX OSTECTOMY/OSTEOTOMY",6B,Existing
367,SB825M,"MAXILLA, ALVEOLAR CLEFT (BILATERAL COMPLETE), BONE GRAFT AND CLOSURE OF NASO BUCCAL FISTULA",6B,Existing
368,SB826M,"MAXILLA, BILATERAL INCOMPLETE ALVEOLAR CLEFT, BONE GRAFT",6A,Existing
369,SB827M,"MAXILLA, DEFORMITY - LEFORT I, OSTEOTOMY",5C,Existing
370,SB828M,"MAXILLA, DEFORMITY - LEFORT II, OSTEOTOMY",6B,Existing
371,SB829M,"MAXILLA, DEFORMITY - LEFORT III, OSTEOTOMY",7C,Existing
372,SB830M,"MAXILLA, FRACTURE - LEFORT I, CLOSED REDUCTION AND FIXATION",4A,Existing
373,SB831M,"MAXILLA, FRACTURE  - LEFORT I, OPEN REDUCTION AND FIXATION",5C,Existing
374,SB832M,"MAXILLA, FRACTURE - LEFORT II / III, CLOSED
REDUCTION AND FIXATION.",5A,Existing
375,SB833M,"MAXILLA DEFORMITY, LE FORT II OSTEOTOMY AND INSERTION OF DISTRACTION OSTEOGENESIS DEVICE",6B,Existing
376,SB834M,"MAXILLA, FRACTURE - LEFORT II (COMPLEX), OPEN
REDUCTION AND FIXATION.",6B,Existing
377,SB835M,"MAXILLA DEFORMITY, LE FORT III OSTEOTOMY AND INSERTION OF DISTRACTION OSTEOGENESIS DEVICE",7B,Existing
378,SB836M,"MAXILLA, FRACTURE - LEFORT III, OPEN REDUCTION AND
FIXATION",6B,Existing
379,SB837M,"MAXILLA, FRACTURE - LEFORT III, OPEN REDUCTION AND FIXATION USING CRANIOFACIAL APPROACH",7C,Existing
380,SB838M,"MAXILLA, ALVEOLAR CLEFT (UNILATERAL COMPLETE), BONE GRAFT AND CLOSURE OF NASO BUCCAL FISTULA",5B,Existing
381,SB839M,"MAXILLA, ALVEOLAR CLEFT (UNILATERAL INCOMPLETE), BONE GRAFT",4B,Existing
382,SB840M,"MAXILLA, VARIOUS LESIONS, OSTECTOMY/OSTEOTOMY (MORE THAN 1 SEGMENT)",6B,Existing
383,SB841M,"MAXILLA, VARIOUS LESIONS,
RESECTION/HEMIMAXILLECTOMY",5C,"Descriptor
change"
384,SB842M,"MAXILLA, VARIOUS LESIONS, OSTECTOMY/OSTEOTOMY (ONE SEGMENT ONLY)",5A,Existing
385,SB843M,"MUSCLE (LOWER LIMB), DEEP ABSCESS, DRAINAGE",2A,Existing
386,SB844M,"MUSCLE (LOWER LIMB), RUPTURE, REPAIR",2C,Existing
387,SB845M,"MUSCLE (LOWER LIMB), VARIOUS LESIONS, MARGINAL EXCISION",2A,Existing
388,SB846M,"MUSCLE (LOWER LIMB), VARIOUS LESIONS, WIDE EXCISION",3A,Existing
389,SB847M,"LOWER LIMB, MUSCLE (QUADRICEPS)/TENDON (INCLUDING PATELLAR TENDON), DISRUPTION, REPAIR OR RECONSTRUCTION",3A,Existing
390,SB848M,"MUSCLE (UPPER LIMB), DEEP ABSCESS, INCISION AND DRAINAGE",2A,Existing
391,SB849M,"MUSCLE (UPPER LIMB), RUPTURE, REPAIR",2C,Existing
392,SB850M,"MUSCLE (UPPER LIMB), VARIOUS LESIONS, MARGINAL EXCISION",2C,Existing
393,SB851M,"MUSCLE (UPPER LIMB), VARIOUS LESIONS, WIDE EXCISION",3C,Existing
394,SB852M,"MUSCULOSKELETAL SYSTEM, VARIOUS LESIONS, FREE COMPOSITE TISSUE GRAFT",7B,Existing
395,SB853M,"MUSCULOSKELETAL SYSTEM, VARIOUS LESIONS,
STEINMAN PINS INSERTION",MSP,Existing
396,SB800N,"DIGIT(S), NAIL BED, DEFORMITY/DEFECT, RECONSTRUCTION",4B,Existing
397,SB801N,"NAIL BED, LACERATION, REPAIR (MULTIPLE)",2C,Existing
398,SB802N,"NAIL BED, LACERATION, REPAIR (SINGLE)",1C,Existing
399,SB803N,"NAIL, INFECTION/INJURY, AVULSION",1A,Existing
400,SB804N,"NECK, TORTICOLLIS, CORRECTION",3B,Existing
401,SB700O,"OTHERS, AUTOLOGOUS CHONDROCYTE IMPLANTATION",5A,Existing
402,SB700P,"PATELLA, HABITUAL DISLOCATION- LATERAL RELEASE,
MEDIAL PLICATION",4B,Existing
403,SB703P,"PELVIS, FRACTURE, ANTERIOR FIXATION",5B,New
404,SB704P,"PELVIS, FRACTURE, POSTERIOR FIXATION",6A,New
405,SB705P,"PELVIS, FRACTURE, COMBINED ANTERIOR AND POSTERIOR FIXATION OR BILATERAL FIXATION",6B,New
406,SB706P,"PELVIS, FRACTURE, REVISION FIXATION WITH/WITHOUT BONE GRAFTING",6B,New
407,SB800P,"PATELLA, FRACTURE, OPEN REDUCTION AND INTERNAL FIXATION",3B,Existing
408,SB801P,"PATELLA, RECURRENT DISLOCATION/CHONDROMALACIA, RECONSTRUCTION",4B,Existing
409,SB802P,"PATELLA, VARIOUS LESIONS, PATELLECTOMY",3A,Existing
410,SB700R,"RADIUS AND ULNA, FRACTURE/DISLOCATION, NON UNION/DELAYED UNION BONE GRAFTING AND RE- FIXATION",5A,Existing
411,SB701R,"RADIUS AND ULNA, FRACTURE/DISLOCATION, NON UNION/DELAYED UNION BONE GRAFTING ONLY",3C,Existing
412,SB800R,"RADIUS (HEAD), VARIOUS LESIONS, EXCISION",3B,Existing
413,SB801R,"RADIUS AND ULNA, FRACTURE/DISLOCATION, OPEN REDUCTION AND INTERNAL FIXATION WITH OR WITHOUT
BONE GRAFTING",4B,Existing
414,SB700S,"SHOULDER, THERAPEUTIC ARTHROSCOPY",4A,Existing
415,SB701S,"SHOULDER FRACTURE/DISLOCATION, OPEN REDUCTION
AND INTERNAL FIXATION (2 PART FRACTURE)",4A,Existing
416,SB702S,"SHOULDER FRACTURE/DISLOCATION, OPEN REDUCTION AND INTERNAL FIXATION (3 OR MORE PART FRACTURE)",5A,Existing
417,SB704S,"SACRUM, FRACTURE, OPEN REDUCTION AND INTERNAL FIXATION",5C,Existing
418,SB705S,"SCAPULA, SCAPULAR FRACTURE, OPEN REDUCTION AND INTERNAL FIXATION (ORIF) WITH PLATING",5A,Existing
419,SB707S,"SHOULDER, SHOULDER SOFT TISSUE INJURY, BANKART OR SUPERIOR LABRUM FROM ANTERIOR TO POSTERIOR (SLAP) REPAIR",5A,Descriptor change
420,SB708S,"SHOULDER, SHOULDER SOFT TISSUE INJURY, BANKART REPAIR WITH SUPERIOR LABRUM FROM ANTERIOR TO POSTERIOR (SLAP) REPAIR/ROTATOR CUFF REPAIR",5B,Descriptor change
421,SB709S,"SHOULDER, SHOULDER SOFT TISSUE INJURY, DECOMPRESSION ALONE",5A,Descriptor change
422,SB710S,"SHOULDER, SHOULDER SOFT TISSUE INJURY, DECOMPRESSION WITH CUFF REPAIR",5B,Descriptor change
423,SB711S,"SHOULDER, SHOULDER SOFT TISSUE INJURY,
DECOMPRESSION WITH CUFF REPAIR & EXCISION OF DISTAL CLAVICLE",5C,Descriptor change
424,SB712S,"SHOULDER, SHOULDER SOFT TISSUE INJURY,
DECOMPRESSION WITH EXCISION OF DISTAL CLAVICLE",5A,"Descriptor
change"
425,SB713S,"SHOULDER, SHOULDER SOFT TISSUE INJURY, SHOULDER RECONSTRUCTION (EG, BRISTOW/LATARJET PROCEDURE)",5B,Existing
426,SB714S,"SHOULDER, VARIOUS LESIONS,  PRIMARY TOTAL JOINT REPLACEMENT WITH AUGMENTATION, REQUIRING EXTRA IMPLANTS OR BONE GRAFTS",6B,Descriptor change
427,SB715S,"SHOULDER, VARIOUS LESIONS, PRIMARY TOTAL JOINT REPLACEMENT",6A,Descriptor change
428,SB716S,"SHOULDER, VARIOUS LESIONS, REVISION TOTAL JOINT REPLACEMENT",6C,Descriptor change
429,SB722S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS, POSTERIOR DECOMPRESSION AND/OR DISCECTOMY WITHOUT INSERTION OF INTERSPINOUS DEVICE (2 OR MORE SEGMENTS) WITHOUT
INSTRUMENTED FUSION",6B,Existing
430,SB723S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS, POSTERIOR DECOMPRESSION AND/OR DISCECTOMY WITHOUT INSERTION OF INTERSPINOUS DEVICE (1 SEGMENT) WITHOUT INSTRUMENTED FUSION",6A,Existing
431,SB724S,"SPINE, REMOVAL OF SPINE IMPLANTS WITHOUT OTHER PROCEDURES (POSTERIOR APPROACH)",3B,Existing
432,SB725S,"SPINE, REMOVAL OR REVISION OF PORT E.G. PORT-A- CATH",MSP,Existing
433,SB726S,"SPINE, VARIOUS LESIONS, REVISION SURGERY, DECOMPRESSION AND/OR DISCECTOMY, WITHOUT INSTRUMENTATION",6A,Existing
434,SB728S,"SPINE, VARIOUS LESIONS, ANTERIOR DECOMPRESSION,
CORPECTOMY, DEBRIDEMENT, BIOPSY STABILISATION WITHOUT INSTRUMENTATION",6B,Existing
435,SB730S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS, INTERBODY FUSION (SINGLE SEGMENT) WITH
ANTERIOR/POSTERIOR INSTRUMENTATION",7A,Existing
436,SB731S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS
- INTERBODY FUSION (SINGLE SEGMENT) WITHOUT ANTERIOR/POSTERIOR INSTRUMENTATION",6B,"Uptable, Descriptor
change,"
437,SB733S,"CERVICAL SPINE, VARIOUS LESIONS, ANTERIOR DECOMPRESSION AND FUSION AND/OR DISC REPLACEMENT (3 OR MORE SEGMENTS)",7A,Descriptor change
438,SB735S,"SPINE, DISCOGRAM (MORE THAN 2 LEVELS)",3A,Existing
439,SB736S,"SPINE, DISCOGRAM (1 TO 2 LEVELS)",2B,Existing
440,SB737S,"SPINE, PERCUTANEOUS DISC ABLATION, 2 OR MORE LEVELS (EG. IDET - INTRADISCAL ELECTROTHERMAL ANNULOPLASTY)",4C,Existing
441,SB738S,"SPINE, PERCUTANEOUS DISC ABLATION, SINGLE LEVEL (EG IDET - INTRADISCAL ELECTROTHERMAL ANNULOPLASTY)",4A,Existing
442,SB739S,"SPINE, VERTEBROPLASTY OR KYPHOPLASTY (MULTIPLE LEVELS)",4C,Existing
443,SB740S,"SPINE, VERTEBROPLASTY OR KYPHOPLASTY (SINGLE LEVEL)",4A,Existing
444,SB741S,"SPINE, VARIOUS LESIONS - POSTERIOR INSTRUMENTATION (5 OR MORE SEGMENTS)
WITH/WITHOUT DECOMPRESSION AND WITHOUT INTERBODY FUSION",7C,"Uptable, Descriptor change,"
445,SB742S,"SCAPULA, COMPLEX SCAPULAR FRACTURE (WITH/WITHOUT GLENOHUMERAL JOINT INVOLVEMENT), OPEN REDUCTION AND INTERNAL FIXATION (ORIF)",5B,Existing
446,SB745S,"CERVICAL SPINE, CLOSED REDUCTION WITHOUT APPLICATION OF SKULL DEVICES OR OTHER PROCEDURES",MSP,Existing
447,SB746S,"CERVICAL SPINE, APPLICATION OF HALO DEVICE WITHOUT OTHER PROCEDURES",1A,Existing
448,SB747S,"SPINE, REMOVAL OF SPINE IMPLANTS WITHOUT OTHER PROCEDURES (ANTERIOR APPROACH)",4B,Existing
449,SB748S,"SPINE, INFECTION, POSTERIOR DRAINAGE AND
DEBRIDEMENT WITHOUT FUSION OR OTHER PROCEDURES",3C,Existing
450,SB749S,"SPINE, INFECTION, POSTERIOR DRAINAGE, DEBRIDEMENT AND REMOVAL OF IMPLANTS, WITHOUT FUSION OR OTHER PROCEDURES",4B,Existing
451,SB750S,"SPINE, INFECTION, ANTERIOR DRAINAGE AND DEBRIDEMENT WITHOUT FUSION OR OTHER PROCEDURES",4A,Existing
452,SB751S,"SPINE, INFECTION, ANTERIOR DRAINAGE, DEBRIDEMENT AND REMOVAL OF IMPLANTS WITHOUT FUSION OR OTHER PROCEDURES",4C,Existing
453,SB752S,"SPINE, VARIOUS LESIONS - POSTERIOR INSTRUMENTATION (1 OR 2 SEGMENTS) WITH/WITHOUT DECOMPRESSION AND WITHOUT INTERBODY FUSION",7A,"Uptable, Descriptor change,"
454,SB753S,"SPINE, VARIOUS LESIONS - POSTERIOR INSTRUMENTATION (3 OR 4 SEGMENTS) WITH/WITHOUT DECOMPRESSION AND WITHOUT INTERBODY FUSION",7B,"Uptable, Descriptor change,"
455,SB754S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS
- INTERBODY FUSION (TWO SEGMENTS) WITH ANTERIOR/POSTERIOR INSTRUMENTATION",7B,Descriptor change
456,SB755S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS, ANTERIOR CORPECTOMY AND FUSION WITH/WITHOUT INSTRUMENTATION (SINGLE
VERTEBRAE)",7A,Existing
457,SB756S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS, ANTERIOR CORPECTOMY AND FUSION WITH/WITHOUT INSTRUMENTATION (TWO OR MORE VERTEBRA)",7B,Existing
458,SB757S,"SPINE, VARIOUS LESIONS, REVISION SURGERY, DECOMPRESSION AND/OR DISCECTOMY, WITH REVISION OF INSTRUMENTATION",6B,Existing
459,SB758S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS, POSTERIOR DECOMPRESSION AND/OR DISCECTOMY WITH INSERTION OF INTERSPINOUS
DEVICE (2 OR MORE SEGMENTS) WITHOUT INSTRUMENTED FUSION",6C,Existing
460,SB759S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS, POSTERIOR DECOMPRESSION AND/OR
DISCECTOMY WITH INSERTION OF INTERSPINOUS DEVICE (1 SEGMENT) WITHOUT INSTRUMENTED FUSION",6B,Existing
461,SB760S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS
- INTERBODY FUSION (THREE OR MORE SEGMENTS) WITH ANTERIOR/POSTERIOR INSTRUMENTATION",7C,New
462,SB800S,"SHOULDER, DEFORMITIES, CORRECTIVE SURGERY, OSTEOTOMY",5C,Existing
463,SB801S,"SHOULDER, ACROMIOCLAVICULAR JOINT STABILISATION/RECONSTRUCTION",5B,Existing
464,SB802S,"SHOULDER, VARIOUS LESIONS, HEMIARTHROPLASTY",5C,Existing
465,SB803S,"SOFT TISSUE (LOWER LIMB), SMALL TUMORS (BENIGN), EXCISION UNDER LOCAL ANESTHESIA",MSP,Existing
466,SB805S,"CERVICAL SPINE, VARIOUS LESIONS, LAMINOPLASTY (WITHOUT INSTRUMENTATION)",6B,Existing
467,SB806S,"CERVICAL SPINE, EXCISION OF CERVICAL RIB",4C,Existing
468,SB807S,"CERVICAL SPINE, CLOSED REDUCTION WITH
APPLICATION OF SKULL DEVICES BUT WITHOUT OTHER PROCEDURES",1A,Existing
469,SB808S,"SPINE, DEFORMITIES, THREE-COLUMN OSTEOTOMY (SUCH AS PSO, VCR, TOTAL SPONDYLECTOMY OR THEIR EQUIVALENT)",7C,Existing
470,SB810S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS
- INTERBODY FUSION (TWO SEGMENTS) WITHOUT ANTERIOR/POSTERIOR INSTRUMENTATION",6C,"Uptable, Descriptor change,"
471,SB811S,"SPINE, PROLAPSED DISC, NUCLEOPLASTY",3C,Existing
