S/N,Code,Description,Table,Classification,Cleaned_Description,X,Y,Cluster
10,SG709B,"BLADDER, CYSTOSCOPY, REMOVAL OF FOREIGN BODY/URETERIC STENT",2B,Uptable,bladder cystoscopy removal foreign bodyureteric stent,7.311153,51.62273,0
138,SK711S,"PARAVERTEBRAL REGION, BLOCK, ANAESTHETIC (MORE THAN 2 LEVELS)",2A,Existing,paravertebral region block anaesthetic 2 level,39.4445,39.00625,0
58,SK703E,"ELECTROCONVULSIVE THERAPY, WITH OR WITHOUT THE USE OF STIMULUS DOSING TECHNIQUES, INCLUDING ANY NECESSARY MONITORING",1A,Uptable,electroconvulsive therapy without use stimulus dosing technique including necessary monitoring,-1.4502404,21.108458,0
51,SF831A,"ANUS, FISSURE, EXCISION/LATERAL SPHINCTEROTOMY",2B,Existing,anus fissure excisionlateral sphincterotomy,-13.33278,0.613676,0
80,SD702B,"BLOOD VESSELS, UMBILICAL, VARIOUS LESIONS, CATHETERISATION/CANNULATION",MSP,Existing,blood vessel umbilical various lesion catheterisationcannulation,-10.258734,-35.19095,0
4,SI703C,"UTERUS/CERVIX, TRANSCERVICAL RESECTION (TCR) MYOMA (>3CM), HYSTEROSCOPIC",4C,"Uptable, Descriptor change",uteruscervix transcervical resection tcr myoma 3cm hysteroscopic,17.564869,-16.680367,0
101,SB710F,"FEMUR, SLIPPED CAPITAL FEMORAL EPIPHYSIS (SCFE), SCREW FIXATION",4B,Existing,femur slipped capital femoral epiphysis scfe screw fixation,2.8712049,-46.899265,0
116,SK801N,"NERVE, VARIOUS LESIONS, PRIMARY/SECONDARY SUTURE",4A,Existing,nerve various lesion primarysecondary suture,-26.164862,24.736355,0
84,SF711B,"BILE DUCT, ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY (ERCP)",3A,Existing,bile duct endoscopic retrograde cholangiopancreatography ercp,55.682507,-1.3448328,0
26,SF803A,"ABDOMINAL CAVITY, MULTIPLE RUPTURES, MAJOR REPAIR/REMOVAL",6B,Existing,abdominal cavity multiple rupture major repairremoval,-60.63509,25.546015,0
148,SF809E,"ESOPHAGUS, TUMOR, TOTAL ESOPHAGECTOMY",7B,Existing,esophagus tumor total esophagectomy,-22.250242,47.85409,0
116,SB726F,"FOOT, ONE BONE OSTEOTOMY WITH SOFT TISSUE RELEASE, DWYER’S (CALCANEAL)",5A,Existing,foot one bone osteotomy soft tissue release dwyers calcaneal,-66.54193,9.341623,0
79,SK711N,"NERVE (OROFACIAL), INJURY, MICROSURGICAL REPAIR (MULTIPLE/ SINGLE INTRAOSSEOUS)",5A,Existing,nerve orofacial injury microsurgical repair multiple single intraosseous,23.202545,-6.475092,0
254,SB800J,"JOINTS (FINGER), CONTRACTURE, CAPSULECTOMY/CAPSULOTOMY",4A,Existing,joint finger contracture capsulectomycapsulotomy,-40.617313,12.065697,0
402,SB700P,"PATELLA, HABITUAL DISLOCATION- LATERAL RELEASE, MEDIAL PLICATION",4B,Existing,patella habitual dislocation lateral release medial plication,-28.830784,-32.66834,0
176,SA881S,"SKIN, VARIOUS LESIONS, INSERTION OF TISSUE EXPANDER (SINGLE)",2B,Existing,skin various lesion insertion tissue expander single,-8.251204,1.1041481,0
324,SF809S,"STOMACH, ULCERS, VAGOTOMY - ALL TYPES",5C,Descriptor change,stomach ulcer vagotomy type,-7.7573876,39.73461,0
69,SF849A,"APPENDIX, VARIOUS LESIONS, APPENDICECTOMY WITHOUT DRAINAGE",3B,Descriptor change,appendix various lesion appendicectomy without drainage,4.676602,2.6636631,0
38,SA824B,"BREAST TUMOUR (MALIGNANT, VARIOUS LESIONS), SIMPLE MASTECTOMY WITH AXILLARY CLEARANCE, WITH/WITHOUT SENTINEL NODE BIOPSY",5A,Descriptor change,breast tumour malignant various lesion simple mastectomy axillary clearance withwithout sentinel node biopsy,19.53051,-48.67247,0
124,SA828S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT, SINGLE STAGE LOCAL FLAP (COMPLICATED/LARGE)",5B,Existing,skin subcutaneous tissue defect single stage local flap complicatedlarge,-34.714863,31.532082,0
117,SM706P,"PHARYNX, VARIOUS LESIONS, PHARYNGOTOMY (LATERAL) WITH EXCISION OF TONGUE AND RECONSTRUCTION",7B,Existing,pharynx various lesion pharyngotomy lateral excision tongue reconstruction,-26.12502,-34.751595,0
195,SB806H,"HAND, DEEP INFECTION, DRAINAGE",2C,Existing,hand deep infection drainage,45.576485,0.74185866,0
33,SF810A,"ABDOMINAL CAVITY, VARIOUS LESIONS, NOT CLASSIFIED ELSEWHERE",4A,Descriptor change,abdominal cavity various lesion classified elsewhere,-60.352764,26.84834,0
91,SM708N,"NOSE, POLYPI (SIMPLE), NASOENDOSCOPY WITH EXCISION BIOPSY, 1 TO 2",1B,Existing,nose polypus simple nasoendoscopy excision biopsy 1 2,12.656893,-1.1292648,0
40,SA826B,"BREAST, TUMOR (MALIGNANT, VARIOUS LESIONS), SIMPLE MASTECTOMY, THERAPEUTIC/PROPHYLACTIC",4A,"Descriptor
change",breast tumor malignant various lesion simple mastectomy therapeuticprophylactic,6.083654,-28.182465,0
263,SB809J,"JOINTS (LOWER LIMB), DISLOCATIONS, MANIPULATION AND KIRSCHNER WIRE FIXATION",3B,Existing,joint lower limb dislocation manipulation kirschner wire fixation,8.074892,-32.84681,0
8,SD707A,"ARTERIOVENOUS FISTULA, ANGIOPLASTY WITH/WITHOUT STENTING",3A,Existing,arteriovenous fistula angioplasty withwithout stenting,25.429466,55.630936,0
104,SL854E,"EYELIDS, VARIOUS LESIONS, WHOLE THICKNESS RECONSTRUCTION (OTHER THAN DIRECT SUTURE ONLY)",4A,Existing,eyelid various lesion whole thickness reconstruction direct suture,-21.719986,-9.930279,0
132,SB813F,"FINGER, DEFORMITIES, CORRECTION",4A,Existing,finger deformity correction,-36.82973,8.341271,0
89,SK721N,"NERVE (UPPER LIMB), ENTRAPMENT SYNDROME (OTHERS), DECOMPRESSION (BILATERAL)",3C,Existing,nerve upper limb entrapment syndrome others decompression bilateral,22.142069,14.915172,0
195,SA901S,"SUBCUTANEOUS TISSUE, OBESITY, EXCISION/LIPECTOMY, THORAX/BACK/BUTTOCKS, FOLLOWING WEIGHT LOSS SURGERY (SF702S/SF703S/SF713S/SF803S/SF804S)",4B,Existing,subcutaneous tissue obesity excisionlipectomy thoraxbackbuttocks following weight loss surgery sf702ssf703ssf713ssf803ssf804s,44.5908,-15.329243,0
9,SM708E,"EAR, TYMPANIC MEMBRANE, BILATERAL MYRINGOTOMY WITH TUBE",2B,Existing,ear tympanic membrane bilateral myringotomy tube,64.55792,43.360775,0
34,SM820E,"EAR, MICROTIA, REPOSITIONING OF LOBULE",2A,Existing,ear microtia repositioning lobule,-6.488547,-1.6714895,0
435,SB730S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS, INTERBODY FUSION (SINGLE SEGMENT) WITH ANTERIOR/POSTERIOR INSTRUMENTATION",7A,Existing,spine excluding cervical spine various lesion interbody fusion single segment anteriorposterior instrumentation,58.234715,-22.844881,0
123,SB804F,"FACE, INFECTION / OSTEOMYELITIS, SIMPLE DRAINAGE /SEQUESTRECTOMY",2C,Existing,face infection osteomyelitis simple drainage sequestrectomy,20.59089,-2.20745,0
81,SL828E,"EYELIDS, EXPOSURE, TARSORRHAPHY (TEMPORARY)",1A,Existing,eyelid exposure tarsorrhaphy temporary,-0.14152367,-6.348078,0
67,SB801C,"CARPUS, FRACTURE/DISLOCATION, OPEN REDUCTION AND INTERNAL FIXATION",4B,Existing,carpus fracturedislocation open reduction internal fixation,29.321806,38.86467,0
141,SK716S,"SACRO-ILIAC JOINT, SACROILIAC JOINT BLOCK (INJECTION OF ANAESTHETIC, THERAPEUTIC SUBSTANCE), BILATERAL",2B,Existing,sacroiliac joint sacroiliac joint block injection anaesthetic therapeutic substance bilateral,25.92762,-58.21456,0
123,SK808N,"NERVE-PERIPHERAL (SUPERFICIAL), TUMOR, EXCISION",3A,Existing,nerveperipheral superficial tumor excision,8.018429,10.631673,0
380,SB838M,"MAXILLA, ALVEOLAR CLEFT (UNILATERAL COMPLETE), BONE GRAFT AND CLOSURE OF NASO BUCCAL FISTULA",5B,Existing,maxilla alveolar cleft unilateral complete bone graft closure naso buccal fistula,-30.21463,-52.131668,0
279,SF809P,"PANCREAS, VARIOUS LESIONS, WHIPPLE OPERATION/TOTAL PANCREATECTOMY",7C,Existing,pancreas various lesion whipple operationtotal pancreatectomy,1.6316258,34.017426,0
167,SD709V,"VEIN, CATHETER BLOCKAGE, IMAGING GUIDED CATHETER CHANGE/CATHETER ADJUSTMENT",1A,Existing,vein catheter blockage imaging guided catheter changecatheter adjustment,34.60841,-71.17991,0
191,SK812S,"SPINAL CORD, ANEURYSM/ARTERIO-VENOUS MALFORMATION CLIPPING/ EXCISION",7A,Existing,spinal cord aneurysmarteriovenous malformation clipping excision,-65.398476,-24.089487,0
280,SF810P,"PHARYNX/LARYNX, PARAPHARYNGEAL SPACE TUMOR EXCISION",6A,Existing,pharynxlarynx parapharyngeal space tumor excision,-33.58086,-19.473125,0
64,SM711L,LARYNGOSCOPY WITH REMOVAL OF TUMOUR/LESIONS,2C,Existing,laryngoscopy removal tumourlesions,4.1762857,-4.2874327,0
97,SK731N,"NERVE ROOTS, DORSAL ROOT GANGLION, PULSED RADIOFREQUENCY, NEUROLYTIC, MORE THAN TWO",3B,"Downtable,
Descriptor change",nerve root dorsal root ganglion pulsed radiofrequency neurolytic two,22.048674,-27.902582,0
65,SD823A,"ARTERY, VARIOUS LESIONS, BY-PASS/GRAFT",5C,Existing,artery various lesion bypassgraft,0.39672035,1.1951903,0
342,SF803T,"TEETH (4 OR MORE), IMPACTED, EXCISION WITH REMOVAL OF BONE (WITHOUT TOOTH DIVISION)",4A,Existing,teeth 4 impacted excision removal bone without tooth division,46.763355,-5.6308966,0
238,SF825M,"MOUTH, ABSCESS (DEEP), DRAINAGE OF MORE THAN 1 SPACE (INCLUDES SUBMASSETERIC, SUBMANDIBULAR, TEMPORAL, AND PTERYGOMANDIBULAR SPACES)",3A,New,mouth abscess deep drainage 1 space includes submasseteric submandibular temporal pterygomandibular space,-35.48504,-20.043161,0
210,SF815L,"LIVER, VARIOUS LESIONS, WEDGE/LOCAL EXCISION",4C,Descriptor change,liver various lesion wedgelocal excision,-3.9995077,31.964403,0
138,SI706V,"VAGINA, INTRA-EPITHELIAL NEOPLASIA VAGINECTOMY (PARTIAL)",3C,Existing,vagina intraepithelial neoplasia vaginectomy partial,-17.63022,14.8537445,0
66,SM713L,"LARYNX, TUMOR, PARTIAL LARYNGECTOMY WITH BLOCK NECK DISSECTION",6B,Existing,larynx tumor partial laryngectomy block neck dissection,75.6387,0.1782753,-1
191,SD805V,"VEIN, VARICOSITY, HIGH LIGATION AND COMPLETE STRIPPING/EXCISION OF LONG/LONG AND SHORT SAPHENOUS VEIN",3B,Existing,vein varicosity high ligation complete strippingexcision longlong short saphenous vein,53.517193,-8.166615,0
373,SB831M,"MAXILLA, FRACTURE  - LEFORT I, OPEN REDUCTION AND FIXATION",5C,Existing,maxilla fracture lefort open reduction fixation,-15.134546,-60.14854,0
41,SM827E,"EAR, VARIOUS LESIONS, MEATOPLASTY/CANALPLASTY WITH / WITHOUT SPLIT SKIN GRAFT",3B,Existing,ear various lesion meatoplastycanalplasty without split skin graft,-21.940264,7.6563344,0
115,SM704P,"PHARYNX, VARIOUS LESIONS, FLAP/PHARYNGOPLASTY",4B,Existing,pharynx various lesion flappharyngoplasty,-26.588827,-16.618748,0
105,SL855E,"EYE, GLAUCOMA, FILTERING AND ALLIED OPERATIONS AND CATARACT SURGERY, WITH OR WITHOUT INTRAOCULAR LENS IMPLANT",4B,Existing,eye glaucoma filtering allied operation cataract surgery without intraocular lens implant,39.274315,-43.63007,0
29,SM815E,"EAR, KERATOSIS OBTURANS MODERATE/SEVERE, EXCISION BIOPSY UNDER LA/GA",1C,Descriptor change,ear keratosis obturans moderatesevere excision biopsy laga,-5.1566653,-2.0731273,0
66,SD824A,"ARTERY, VARIOUS LESIONS, INTRA-ARTERIAL INFUSION",3A,Existing,artery various lesion intraarterial infusion,16.182169,-64.74133,0
138,SD819H,"HEART, PERICARDIAL EFFUSION, PARACENTESIS",1A,Existing,heart pericardial effusion paracentesis,2.540274,-1.5586593,0
159,SD701V,"VEIN, PSEUDOANEURYSM, THROMBIN INJECTION",MSP,Existing,vein pseudoaneurysm thrombin injection,-14.3504505,-5.653667,0
54,SA801M,"MUCOUS MEMBRANE, DEEP LACERATION/MULTIPLE LACERATIONS, REPAIR",3A,Existing,mucous membrane deep lacerationmultiple laceration repair,-17.849298,65.40236,0
17,SC701L,"LUNG, VARIOUS LESIONS, PNEUMONECTOMY/LOBECTOMY/SEGMENTAL RESECTION",5B,Existing,lung various lesion pneumonectomylobectomysegmental resection,-15.947598,-19.19967,0
211,SF700M,"MOUTH, DEFECT, MUCOUS MEMBRANE/CONNECTIVE TISSUE GRAFT",2A,Existing,mouth defect mucous membraneconnective tissue graft,-16.418467,65.71581,0
124,SM706S,"SINUSES, NASAL, FOREIGN BODY/OTHER LESIONS, INTRANASAL OPERATION/REMOVAL OF FOREIGN BODY",2B,Existing,sinus nasal foreign bodyother lesion intranasal operationremoval foreign body,16.690437,71.3331,0
74,SM702M,"MOUTH, VARIOUS/PATHOLOGIC LESIONS OF ORAL MUCOSA, LASER APPLICATION",2B,Existing,mouth variouspathologic lesion oral mucosa laser application,-7.702978,-41.53622,0
306,SB803K,"KNEE, VARIOUS LESIONS, ARTHRODESIS",5A,Existing,knee various lesion arthrodesis,40.540184,59.73355,0
553,SB714W,"WRIST, VARIOUS LESIONS, PRIMARY TOTAL JOINT ARTHROPLASTY",6A,Descriptor change,wrist various lesion primary total joint arthroplasty,-34.08643,-25.617393,0
71,SI707U,"UTERUS, ENDOMETRIAL ABLATION (HYSTEROSCOPIC)",2C,Existing,uterus endometrial ablation hysteroscopic,12.270441,-4.358827,0
154,SF701G,"GALLBLADDER, TUMOUR, RADICAL CHOLECYSTECTOMY WITH SEGMENT 4B AND 5 LIVER RESECTION AND RADICAL LYMPHADENECTOMY",6C,Existing,gallbladder tumour radical cholecystectomy segment 4b 5 liver resection radical lymphadenectomy,-12.897602,-46.376114,0
36,SD735A,"ARTERY-VISCERAL, STENOSIS, ANGIOPLASTY OF VISCERAL ARTERY",3A,Existing,arteryvisceral stenosis angioplasty visceral artery,22.618166,24.982763,0
77,SG805K,"KIDNEY, CYST, EXCISION",3A,Existing,kidney cyst excision,-5.4844007,23.048069,0
8,SI707C,"CERVIX, VARIOUS LESIONS, COLPOSCOPY, ABLATIONAL AND/OR EXCISIONAL TREATMENT (E.G. LASER VAPOURISATION/LOOP ELECTROSURGICAL EXCISION PROCEDURE/LASER EXCISION OF TRANSFORMATION ZONE WITH BIOPSY)",2A,Existing,cervix various lesion colposcopy ablational andor excisional treatment eg laser vapourisationloop electrosurgical excision procedurelaser excision transformation zone biopsy,3.8504405,58.041866,0
166,SB709H,"HAND, FLEXOR TENDON, TRIGGER FINGER (SINGLE), RELEASE",2A,Existing,hand flexor tendon trigger finger single release,-44.370125,13.916871,0
103,SD720H,"HEART, INSERTABLE LOOP RECORDER",1B,Existing,heart insertable loop recorder,2.540274,-1.5586593,0
329,SF814S,"STOMACH, VARIOUS LESIONS, PERCUATNEOUS GASTROSTOMY/JEJUNOSTOMY CHANGE (WITH OR WITHOUT IMAGE GUIDANCE)",1A,New,stomach various lesion percuatneous gastrostomyjejunostomy change without image guidance,-11.594361,-14.695035,0
110,SB719F,"FOOT, CONGENITAL TALIPES EQUINOVARUS (CTEV), POST RELEASE",4A,Existing,foot congenital talipes equinovarus ctev post release,-69.87739,-0.22054698,0
56,SK701C,"BRACHIAL PLEXUS, BLOCK, NO CATHETER",1B,Existing,brachial plexus block catheter,48.66717,31.909136,0
62,SM709L,"LARYNX, LARYNGECTOMY WITH BILATERAL NECK DISSECTION",7A,Existing,larynx laryngectomy bilateral neck dissection,76.45808,-0.028449606,-1
384,SB842M,"MAXILLA, VARIOUS LESIONS, OSTECTOMY/OSTEOTOMY (ONE SEGMENT ONLY)",5A,Existing,maxilla various lesion ostectomyosteotomy one segment,-37.847095,-57.002357,0
178,SD721V,"VEIN, VARIOUS LESIONS, IMAGING GUIDED INSERTION OF TUNNELLED CENTRAL VENOUS CATHETER",2A,Existing,vein various lesion imaging guided insertion tunnelled central venous catheter,-12.44441,-10.40915,0
16,SC700L,"LARYNX, LARYNGEAL MASK AIRWAY",MSP,Existing,larynx laryngeal mask airway,-21.440956,52.25938,0
173,SL801V,"VITREOUS, VARIOUS LESIONS, POSTERIOR VITRECTOMY (PARS PLANA/ SCLEROTOMY/ LENSECTOMY-EXTRACTION WITH INTRA-OCULAR LENS IMPLANT/ ENDOLASER/ MEMBRANE PEELS)",6B,Existing,vitreous various lesion posterior vitrectomy par plana sclerotomy lensectomyextraction intraocular lens implant endolaser membrane peel,32.940556,-13.1092615,0
155,SD839H,"HEART, MAPPING AND PERCUTANEOUS ABLATION OF VENTRICULAR ARRHYTHMIA CIRCUITS OR FOCI, INCLUDING ALL ASSOCIATED ELECTROPHYSIOLOGICAL STUDIES PERFORMED ON THE SAME DAY",5A,Existing,heart mapping percutaneous ablation ventricular arrhythmia circuit focus including associated electrophysiological study performed day,12.487582,13.00249,0
153,SA858S,"SKIN, BURNS (LESS THAN 10%), DRESSING",MSP,Existing,skin burn le 10 dressing,26.916595,-26.299757,0
77,SL823E,"EYELID, INVOLUTIONAL ENTROPION / ECTROPION CORRECTION (UNILATERAL)",3B,Existing,eyelid involutional entropion ectropion correction unilateral,26.522861,-34.169655,0
291,SF703R,"RECTUM, ULTRA-LOW ANTERIOR RESECTION (TOTAL MESORECTAL EXCISION) WITH/WITHOUT PLND",6C,Existing,rectum ultralow anterior resection total mesorectal excision withwithout plnd,-20.200918,22.982111,0
16,SK715A,"ARTERY, SPINAL, VARIOUS LESIONS, DIAGNOSTIC ANGIOGRAPHY",3B,Existing,artery spinal various lesion diagnostic angiography,-4.580905,-11.3556595,0
22,SE806L,"LYMPH NODE (INGUINAL), VARIOUS LESIONS, RADICAL EXCISION",4B,Existing,lymph node inguinal various lesion radical excision,-9.859403,-63.541267,0
102,SL852E,"EYELIDS, VARIOUS LESIONS, MULTIPLE PLASTIC LID PROCEDURES",5B,Existing,eyelid various lesion multiple plastic lid procedure,-29.880707,53.23327,0
182,SF700L,"LIVER TRANSPLANT, DONATION (CADAVERIC DONOR)",5C,Existing,liver transplant donation cadaveric donor,72.02897,32.15758,-1
119,SB800F,"FACE, CONTOUR DEFECT, RECONSTRUCTION / INSERTION OF IMPLANT(S)",4A,Existing,face contour defect reconstruction insertion implant,-24.05846,-7.5395317,0
289,SF701R,"RECTUM, RESECTION - RECTOPEXY FOR RECTAL PROLAPSE",5C,Descriptor change,rectum resection rectopexy rectal prolapse,-18.97772,26.663435,0
27,SM813E,"EAR, FOREIGN BODY, COMPLEX REMOVAL/EXCISION (EMBEDDED/LARGE)",1B,Existing,ear foreign body complex removalexcision embeddedlarge,15.854883,71.76346,0
137,SM719S,"SINUSES FRONTAL, VARIOUS LESIONS, TREPHINE",2B,Existing,sinus frontal various lesion trephine,30.494038,-4.522706,0
90,SK722N,"NERVE (UPPER LIMB), ENTRAPMENT SYNDROME (OTHERS), DECOMPRESSION (UNILATERAL)",3A,Existing,nerve upper limb entrapment syndrome others decompression unilateral,22.143753,14.915642,0
1,SE700L,"LYMPH NODE (AXILLARY), VARIOUS LESIONS, RADICAL EXCISION/CLEARANCE WITH OR WITHOUT SENTINEL LYMPH NODE BIOPSY",4A,Existing,lymph node axillary various lesion radical excisionclearance without sentinel lymph node biopsy,14.978407,-49.685966,0
127,SL809L,"LENS, CATARACT, EXTRACTION WITH INTRA-OCULAR LENS IMPLANT (UNILATERAL RIGHT)",4A,Existing,lens cataract extraction intraocular lens implant unilateral right,38.560654,-45.129967,0
160,SF707G,"GALLBLADDER, VARIOUS LESIONS,  CHOLECYSTECTOMY, CHOLEDOCHOTOMY, COMMON BILE DUCT EXPLORATION WITH CHOLEDOCHO-DUODENOSTOMY",5C,Descriptor change,gallbladder various lesion cholecystectomy choledochotomy common bile duct exploration choledochoduodenostomy,54.2279,-36.547474,0
298,SF806R,"RECTUM, TUMOR, LASER VAPORISATION/ENDOSCOPIC FULGURATION",2C,Existing,rectum tumor laser vaporisationendoscopic fulguration,-17.90714,24.389938,0
144,SB826F,"FINGER, VARIOUS LESIONS, AMPUTATION (SINGLE)",2A,Existing,finger various lesion amputation single,-37.79615,4.915898,0
64,SL808E,"EYE, PERFORATING WOUND (NOT INVOLVING INTRAOCULAR STRUCTURES), REPAIR",2C,Existing,eye perforating wound involving intraocular structure repair,-57.492325,5.732724,0
199,SB810H,"HAND, EXTRA DIGIT, AMPUTATION/STUMP REVISION",1C,Existing,hand extra digit amputationstump revision,-37.868023,21.526714,0
385,SB843M,"MUSCLE (LOWER LIMB), DEEP ABSCESS, DRAINAGE",2A,Existing,muscle lower limb deep abscess drainage,-47.03375,26.125221,0
505,SB819T,"TENDON-FLEXOR (UPPER LIMB), INJURY, REPAIR (MULTIPLE)",4B,Existing,tendonflexor upper limb injury repair multiple,-29.944664,-63.22881,0
130,SK702S,"SPINE, FACET JOINT BLOCK (INJECTION OF ANAESTHETIC OR THERAPEUTIC SUBSTANCE), UP TO 3 JOINTS",2B,Existing,spine facet joint block injection anaesthetic therapeutic substance 3 joint,26.738657,-62.10316,0
239,SF811M,"ORAL CAVITY AND PHARYNX, FOREIGN BODY, REMOVAL",1B,Existing,oral cavity pharynx foreign body removal,14.020718,73.882866,0
93,SB702F,"FEMUR, DELAYED/NON UNION, WITH RE-INTERNAL FIXATION AND BONE GRAFTING",5A,Existing,femur delayednon union reinternal fixation bone grafting,28.105267,31.897545,0
5,SI704C,"CERVIX, TRANSCERVICAL RESECTION (TCR) POLYP (<2CM), HYSTEROSCOPIC",2B,Existing,cervix transcervical resection tcr polyp 2cm hysteroscopic,17.36344,-18.811838,0
129,SI843U,"UTERUS, VARIOUS LESIONS, CURETTAGE WITH/WITHOUT DILATATION",2A,Existing,uterus various lesion curettage withwithout dilatation,18.046595,27.758831,0
98,SF804B,"BILE DUCT, VARIOUS LESIONS. HEPATICOJEJUNOSTOMY UP TO BUT NOT INCLUDING THE CONFLUENCE OF THE HEPATIC DUCTS",5C,Existing,bile duct various lesion hepaticojejunostomy including confluence hepatic duct,64.749054,-3.5993683,0
106,SK742N,"NEUROSTIMULATOR, INSERTION OF INTERNAL PULSE GENERATOR, INVOLVES OPENING OF WOUND, TUNNELING, OPENING OF POUCH FOR IPG & TESTING OF SYSTEM",4B,Existing,neurostimulator insertion internal pulse generator involves opening wound tunneling opening pouch ipg testing system,-59.11037,4.521906,0
142,SA846S,"SKIN AND SUBCUTANEOUS TISSUE, NEUROFIBROMATOSIS OF FACE AND NECK, EXCISION (LARGE)",4A,Existing,skin subcutaneous tissue neurofibromatosis face neck excision large,8.737838,42.28093,0
96,SF802B,"BILE DUCT, VARIOUS LESIONS, CHOLEDOCHO- JEJUNOSTOMY",4C,Existing,bile duct various lesion choledocho jejunostomy,63.562305,-4.133734,0
3,SA702B,"BREAST, DUCTAL LESIONS, MICRODOCHECTOMY (UNILATERAL)",2C,Existing,breast ductal lesion microdochectomy unilateral,-1.326596,-13.387459,0
112,SF709C,"COLON, HIRSCHSPRUNG’S DISEASE, ENDORECTAL PULLTHROUGH (MIS)",5B,Existing,colon hirschsprung disease endorectal pullthrough mi,-50.854767,-5.2744193,0
377,SB835M,"MAXILLA DEFORMITY, LE FORT III OSTEOTOMY AND INSERTION OF DISTRACTION OSTEOGENESIS DEVICE",7B,Existing,maxilla deformity le fort iii osteotomy insertion distraction osteogenesis device,81.323326,-14.659685,1
100,SM717N,"NOSE, VARIOUS LESIONS, EXAMINATION",MSP,Existing,nose various lesion examination,26.881777,-15.172959,0
140,SB822F,"FINGER, TRAUMA, REPLANTATION/TRANSPLANTATION (SINGLE)",6B,Existing,finger trauma replantationtransplantation single,-41.69551,7.9010234,0
159,SB702H,"HAND AND WRIST,  RHEUMATOID HAND RECONSTRUCTION INCLUDING SYNOVECTOMY, BONE/JOINT PROCEDURES WITH/WITHOUT REPLACEMENT ARTHROPLASTY, AND SOFT TISSUE PROCEDURES",5C,Existing,hand wrist rheumatoid hand reconstruction including synovectomy bonejoint procedure withwithout replacement arthroplasty soft tissue procedure,-24.885473,4.950175,0
66,SB800C,"CARPUS, DELAYED/NON UNION, RECONSTRUCTION",5C,Existing,carpus delayednon union reconstruction,28.871439,31.832884,0
177,SB720H,"HIP, ACETABULUM, FRACTURE, SINGLE COLUMN FIXATION",5C,Existing,hip acetabulum fracture single column fixation,-28.970308,-7.9289746,0
132,SM714S,"SINUSES, NASAL, VARIOUS LESIONS, FRONTO-NASAL ETHMOIDECTOMY WITH/WITHOUT SPHENOIDOTOMY",5C,Existing,sinus nasal various lesion frontonasal ethmoidectomy withwithout sphenoidotomy,34.48133,-6.241018,0
113,SF710C,"COLON, SIGMOID, SIGMOIDOSCOPY (FLEXIBLE), FIBREOPTIC WITH/WITHOUT BIOPSY",1B,Existing,colon sigmoid sigmoidoscopy flexible fibreoptic withwithout biopsy,36.565353,-36.01684,0
240,SB706J,"JOINTS, VARIOUS LESIONS, REVISION TOTAL JOINT REPLACEMENT",6C,"Descriptor
change",joint various lesion revision total joint replacement,-26.828188,-22.916883,0
72,SB806C,"COCCYX, VARIOUS LESIONS, EXCISION",2C,Existing,coccyx various lesion excision,-3.1519132,0.18002331,0
145,SK720S,"SKULL, INTRACRANIAL HEMORRHAGE, OSTEOPLASTIC CRANIOTOMY/EXTENSIVE CRANIECTOMY, BILATERAL",6A,Existing,skull intracranial hemorrhage osteoplastic craniotomyextensive craniectomy bilateral,45.861877,22.973122,0
185,SI834V,"VULVA, TIGHT INTROITUS, FENTON'S OPERATION",1C,Existing,vulva tight introitus fentons operation,-2.2550626,27.432085,0
45,SB817B,"BONE (UPPER/LOWER LIMB), BONE LOSS/NONUNION, BONE GRAFTING",3C,Existing,bone upperlower limb bone lossnonunion bone grafting,8.607528,15.669766,0
39,SL708E,"EYE, SQUINT, COMPLEX STRABISMUS SURGERY (4 OR MORE MUSCLES, TRANSPOSITION, MUSCLE SPLITTING)",5A,Existing,eye squint complex strabismus surgery 4 muscle transposition muscle splitting,49.575714,15.5642185,0
137,SD818H,"HEART, PERICARDIAL DISEASE, PERICARDIECTOMY",4B,Existing,heart pericardial disease pericardiectomy,-52.159714,-5.317996,0
24,SE808L,"LYMPH NODE (SINGLE), VARIOUS LESIONS, ASPIRATION/BIOPSY",MSP,Existing,lymph node single various lesion aspirationbiopsy,-36.099224,-43.89302,0
60,SF840A,"ANUS, ISCHIORECTAL ABSCESS, SAUCERISATION",1B,Existing,anus ischiorectal abscess saucerisation,-15.355941,0.8763899,0
114,SD732H,"HEART, VALVE (REPAIR / REPLACEMENT), MORE THAN 1 VALVE",7B,Existing,heart valve repair replacement 1 valve,-54.479992,-20.109655,0
1,SJ700A,"ADRENAL, VARIOUS LESIONS, ADRENAL VENOUS SAMPLING",3B,Existing,adrenal various lesion adrenal venous sampling,10.836236,-45.809998,0
97,SD713H,"HEART, MULTIVESSEL PERCUTANEOUS CORONARY INTERVENTION (PCI), WITH/WITHOUT CORONARY ANGIOGRAPHY, WITH/WITHOUT PHYSIOLOGICAL AND/OR IMAGING STUDIES",4B,Descriptor change,heart multivessel percutaneous coronary intervention pci withwithout coronary angiography withwithout physiological andor imaging study,42.696896,-33.52282,0
