S/N,Code,Description,Table,Classification
185,SA890S,"SUBCUTANEOUS TISSUE (ABDOMEN), OBESITY, LIPOSUCTION",3B,Existing
186,SA891S,"SUBCUTANEOUS TISSUE (BUTTOCKS), OBESITY,
LIPOSUCTION",3B,Existing
187,SA892S,"SUBCUTANEOUS TISSUE (FACE), OBESITY, LIPOSUCTION",2C,Existing
188,SA893S,"SUBCUTANEOUS TISSUE (THIGH), OBESITY, LIPOSUCTION",3C,Existing
189,SA894S,"SUBCUTANEOUS TISSUE (UPPER LIMBS), OBESITY,
LIPOSUCTION",3A,Existing
190,SA895S,"SUBCUTANEOUS TISSUE, OBESITY, LIPECTOMY, TRANSVERSE WEDGE EXCISION OF ABDOMINAL APRON/LIPECTOMY WITH EXCISION OF SKIN, FOLLOWING WEIGHT LOSS SURGERY (SF702S/SF703S/SF713S/SF803S/SF804S)",4A,Existing
191,SA896S,"SUBCUTANEOUS TISSUE, OBESITY, LIPECTOMY,
EXCISION WITH UNDERMINING OF SKIN EDGES AND STRENGTHENING OF ABDOMINAL WALL/RADICAL",5C,Existing
"4  Supported by histology
5  No Medisave/Medishield can be used for surgical operations performed for cosmetic purposes unless medically
indicated. Medical indications include facial palsy.",,,,
,,ABDOMINOPLASTY WITH REPAIR OF ABDOMINAL WALL AND TRANSPOSITION OF UMBILICUS FOLLOWING WEIGHT LOSS SURGERY (SF702S/SF703S/SF713S/SF803S/SF804S),,
192,SA898S,"SWEAT GLAND, AXILLARY HYPERHIDROSIS, WEDGE EXCISION (UNILATERAL)",2C,Existing
193,SA899S,"SKIN, INTRALESIONAL STEROID INJECTION",MSP,Existing
194,SA900S,"SUBCUTANEOUS TISSUE, OBESITY, EXCISION/LIPECTOMY, LIMBS (UNILATERAL/BILATERAL) FOLLOWING WEIGHT LOSS SURGERY (SF702S/SF703S/SF713S/SF803S/SF804S)",4A,Existing
195,SA901S,"SUBCUTANEOUS TISSUE, OBESITY, EXCISION/LIPECTOMY, THORAX/BACK/BUTTOCKS,
FOLLOWING WEIGHT LOSS SURGERY (SF702S/SF703S/SF713S/SF803S/SF804S)",4B,Existing
196,SA903S,"SKIN, PRE-MALIGNANT LESIONS, EXCISION/VAPORISATION BY LASER AND OTHER ABLATIVE MODALITIES, THERAPEUTIC, LESS THAN 10 LESIONS, NOT REQUIRING GENERAL ANAESTHESIA",MSP,New
197,SA904S,"SKIN, PRE-MALIGNANT LESIONS, EXCISION/VAPORISATION BY LASER AND OTHER ABLATIVE MODALITIES, THERAPEUTIC, 10 OR MORE
LESIONS, NOT REQUIRING GENERAL ANAESTHESIA",1A,New
198,SA905S,"SKIN, PRE-MALIGNANT LESIONS, EXCISION/VAPORISATION BY LASER AND OTHER ABLATIVE MODALITIES, THERAPEUTIC, SINGLE/MULTIPLE, WHERE UNDERTAKEN IN THE OPERATING THEATRE REQUIRING GENERAL ANAESTHESIA",1B,New
199,SA700T,"TENDON SHEATH AND SUBCUTANEOUS TISSUE, GANGLION/LARGE BURSA, (>3CM) EXCISION BIOPSY",2B,Existing
200,SA800T,"TENDON SHEATH AND SUBCUTANEOUS TISSUE,
GANGLION/SMALL BURSA, (<3CM) EXCISION BIOPSY",1C,Existing
