S/N,Code,Description,Table,Classification
213,SF702M,"MOUTH, INTRA ORAL TUMOUR RADICAL EXCISION WITH
RESECTION OF MANDIBLE AND BILATERAL NECK DISSECTION",7A,Existing
214,SF703M,"MOUTH, PERIODONTIUM (WITHIN 1 QUADRANT),
PERIODONTITIS, OPEN FLAP DEBRIDEMENT",1B,Existing
215,SF704M,"MOUTH, PERIODONTIUM (WITHIN 1 QUADRANT), SOFT TISSUE DEFECT/DEFORMITY, GINGIVOPLASTY",1B,Existing
216,SF705M,"MOUTH, PERIODONTIUM (WITHIN 1 QUADRANT), SOFT TISSUE DEFECT/DEFORMITY, GINGIVOPLASTY WITH
AUTOGENOUS SOFT TISSUE GRAFT",2B,Descriptor change
217,SF706M,"MOUTH, PERIODONTIUM (WITHIN 2 QUADRANTS),
PERIODONTITIS, OPEN FLAP DEBRIDEMENT",2A,Existing
218,SF707M,"MOUTH, PERIODONTIUM (WITHIN 2 QUADRANTS), SOFT
TISSUE DEFECT/DEFORMITY, GINGIVOPLASTY",2A,Existing
219,SF708M,"MOUTH, PERIODONTIUM (WITHIN 2 QUADRANTS), SOFT TISSUE DEFECT/DEFORMITY, GINGIVOPLASTY WITH AUTOGENOUS SOFT TISSUE GRAFT",3A,Descriptor change
220,SF709M,"MOUTH, PERIODONTIUM, BONE DEFECT/DEFORMITY, AUGMENTATION (AUTOGENOUS) /REGENERATION",2C,Existing
221,SF710M,"MOUTH, PERIODONTIUM, BONE DEFECT/DEFORMITY, AUGMENTATION (NON-AUTOGENOUS) /REGENERATION",2A,Existing
222,SF711M,"MOUTH, SALIVARY GLAND, VARIOUS LESIONS, DILATATION OF DUCT",MSP,Existing
223,SF712M,"MOUTH, SUBMUCOSAL RESECTION, ENDOSCOPIC EXCISION WITH BIOPSY",4A,Existing
224,SF713M,"MOUTH, SUBLINGUAL GLAND, TUMOR, EXCISION BIOPSY",2C,Existing
225,SF714M,"MOUTH, SUBMANDIBULAR GLAND, CALCULUS (DEEP), REMOVAL BIOPSY",3A,Existing
226,SF715M,"MOUTH, SUBMANDIBULAR GLAND, CALCULUS, REMOVAL WITH BIOPSY",1C,Existing
227,SF716M,"MOUTH, SUBMANDIBULAR GLAND, VARIOUS LESIONS, EXCISION WITH BIOPSY",3C,Existing
228,SF800M,"MOUTH, ABSCESS (DEEP), DRAINAGE OF 1 SPACE
(INCLUDES SUBMASSETERIC, SUBMANDIBULAR, TEMPORAL, AND PTERYGOMANDIBULAR SPACES)",2B,Descriptor change
229,SF801M,"MOUTH, ABSCESS, (SUPERFICIAL), DRAINAGE",1A,Existing
230,SF802M,"MOUTH, ANGULAR CLEFT WITH MACROSTOMIA
(BILATERAL) REPAIR",6A,Existing
231,SF803M,"MOUTH, ANGULAR CLEFT WITH MACROSTOMIA (UNILATERAL) REPAIR",4C,Existing
232,SF804M,"MOUTH, CLEFT LIP, BILATERAL PRIMARY REPAIR",6A,Existing
233,SF805M,"MOUTH, CLEFT LIP, SECONDARY CORRECTION (ABBE FLAP)",6A,Existing
234,SF806M,"MOUTH, CLEFT LIP, SECONDARY CORRECTION",4A,Existing
235,SF807M,"MOUTH, CLEFT LIP, SECONDARY CORRECTION OF NOSTRIL/NASAL TIP",4B,Existing
236,SF808M,"MOUTH, CLEFT LIP, UNILATERAL PRIMARY REPAIR",4C,Existing
237,SF809M,"MOUTH, DISLOCATED TEETH/DENTO-ALVEOLAR FRACTURE, REDUCTION AND IMMOBILISATION",2C,Existing
238,SF825M,"MOUTH, ABSCESS (DEEP), DRAINAGE OF MORE THAN 1 SPACE (INCLUDES SUBMASSETERIC, SUBMANDIBULAR, TEMPORAL, AND PTERYGOMANDIBULAR SPACES)",3A,New
239,SF811M,"ORAL CAVITY AND PHARYNX, FOREIGN BODY, REMOVAL",1B,Existing
240,SF812M,"MOUTH, INTRA ORAL TUMOUR RADICAL EXCISION WITH RESECTION OF MANDIBLE AND UNILATERAL NECK
DISSECTION",6C,Existing
241,SF813M,"MOUTH, LEUKOPLAKIA, LIMITED EXCISION",1B,Existing
242,SF814M,"MOUTH, LEUKOPLAKIA, WIDE EXCISION AND SKIN GRAFTING",3A,Existing
243,SF815M,"MOUTH, MACROCHEILIA AND MACROGLOSSIA,
RECONSTRUCTION",3A,Existing
244,SF816M,"MOUTH, MALIGNANT TUMOR, WIDE EXCISION AND MAJOR RECONSTRUCTION",6B,Existing
245,SF817M,"MOUTH, MUCOUS CYST/RANULA OF FLOOR OF MOUTH,
MARSUPIALIZATION /BIOPSY",1B,Existing
246,SF818M,"MOUTH, MUCOUS CYST/RANULA OF FLOOR OF MOUTH, EXCISION WITH/WITHOUT BIOPSY",2C,Existing
247,SF819M,"MOUTH, NASOLABIAL CYST, EXCISION BIOPSY",2C,Existing
248,SF820M,"MOUTH, ORO-ANTRAL FISTULA, REMOVAL OF
TOOTH/ROOTS IN ANTRUM AND CLOSURE",3B,Existing
249,SF821M,"MOUTH, SMALL SOFT TISSUE TUMOR, EXCISION BIOPSY < 3CM",1B,Existing
250,SF822M,"MOUTH, TUMOR, RADICAL EXCISION BIOPSY WITH RESECTION OF MANDIBLE AND LYMPH NODES AND RECONSTRUCTION",7C,Existing
251,SF823M,"MOUTH, VARIOUS LESIONS OF ORAL MUCOSA (LARGE/MULTIPLE), CRYOSURGICAL/LASER APPLICATION WITH BIOPSY",3B,Existing
252,SF824M,"MOUTH, VARIOUS/PATHOLOGIC LESIONS OF ORAL MUCOSA, CRYOSURGICAL/LASER APPLICATION WITH BIOPSY",2B,Existing
253,SF800N,"NECK, BRANCHIAL CYST, REMOVAL WITH BIOPSY",3B,Existing
254,SF801N,"NECK, BRANCHIAL FISTULA, REMOVAL",3B,Existing
255,SF700P,"PANCREAS, PSEUDOCYST/ABSCESS, IMAGING GUIDED PERCUTANEOUS DRAINAGE CATHETER INSERTION",2C,Existing
256,SF701P,"PANCREAS, TRANSPLANT (DONATION - CADAVERIC DONOR)",5C,Existing
257,SF702P,"PANCREAS, TRANSPLANT (RECIPIENT)",7C,Existing
258,SF703P,"PANCREAS, VARIOUS LESIONS, DUODENUM PRESERVING
PANCREATIC HEAD RESECTION (BEGER'S OPERATION)",7A,Existing
259,SF704P,"PANCREAS, VARIOUS LESIONS, DUODENUM PRESERVING PANCREATIC HEAD RESECTION WITH LONGITUDINAL PANCREATICO-ENTERIC ANASTOMOSIS (FREY'S OPERATION)",7A,Existing
260,SF705P,"PANCREAS, VARIOUS LESIONS, ENUCLEATION OF LESIONS (1 TO 2)",4C,Existing
261,SF706P,"PANCREAS, VARIOUS LESIONS, ENUCLEATION OF LESIONS (3 OR MORE)",5A,Existing
262,SF707P,"PANCREAS, VARIOUS LESIONS, IMAGING GUIDED PERCUTANEOUS BIOPSY",2A,Existing
263,SF708P,"PANCREAS, VARIOUS LESIONS, DISTAL PANCREATECTOMY AND SPLENECTOMY",5B,Descriptor change
264,SF709P,"PANCREAS, VARIOUS LESIONS, SUBTOTAL
PANCREATECTOMY (EXTENDING TO THE NECK) AND SPLENECTOMY",5C,Descriptor change
265,SF710P,"PANCREAS, VARIOUS LESIONS, PORTAL VENOUS
SAMPLING",3B,Existing
266,SF711P,"PANCREAS, VARIOUS LESIONS, SEGMENTAL PANCREATECTOMY WITH PANCREATICO-ENTERIC ANASTOMOSIS",6B,Existing
267,SF712P,"PANCREAS, VARIOUS LESIONS, SPLEEN-PRESERVING DISTAL PANCREATECTOMY",5C,Descriptor change
268,SF713P,"PAROTID, TOTAL PAROTIDECTOMY WITH NECK
DISSECTION",6B,Existing
269,SF714P,"PAROTID, TOTAL PAROTIDECTOMY, WITH/WITHOUT PRESERVATION OF FACIAL NERVE",6A,Existing
270,SF800P,"PALATE, CLEFT (COMPLETE), PRIMARY REPAIR",5C,Existing
271,SF801P,"PALATE, CLEFT (PARTIAL), PRIMARY REPAIR",4B,Existing
272,SF802P,"PALATE, CLEFT, SECONDARY REPAIR (CLOSURE OF FISTULA)",3B,Existing
273,SF803P,"PALATE, SECONDARY REPAIR (LENGTHENING PROCEDURE)",5A,Existing
274,SF804P,"PALATE, CLEFT, UVULOPHARYNGOPLASTY",5C,Existing
275,SF805P,"PANCREAS, CYST/PSEUDOCYST, DRAINAGE AND
ANASTOMOSIS TO INTESTINE/STOMACH",5A,"Descriptor
change"
276,SF806P,"PANCREAS, TUMOUR, TRIPLE BYPASS",5C,Existing
277,SF807P,"PANCREAS, VARIOUS LESIONS, DISTAL PANCREATECTOMY/ANASTOMOSIS OF PANCREATIC DUCT",5C,Existing
278,SF808P,"PANCREAS, VARIOUS LESIONS, EXTERNAL DRAINAGE (OPEN)",3B,Existing
279,SF809P,"PANCREAS, VARIOUS LESIONS, WHIPPLE OPERATION/TOTAL PANCREATECTOMY",7C,Existing
280,SF810P,"PHARYNX/LARYNX, PARAPHARYNGEAL SPACE TUMOR EXCISION",6A,Existing
281,SF811P,"PAROTID, CALCULUS (DEEP), REMOVAL",3A,Existing
282,SF812P,"PAROTID, CALCULUS (SUPERFICIAL), REMOVAL",1C,Existing
283,SF813P,"PAROTID, FISTULA, REPAIR",3A,Existing
284,SF814P,"PAROTID, TUMOR, SUPERFICIAL PAROTIDECTOMY",5C,Existing
285,SF815P,"PAROTID, TUMOR, TOTAL PAROTIDECTOMY WITH PARAPHARYNGEAL SPACE RESECTION AND FLAP RECONSTRUCTION",7B,Existing
286,SF816P,"PAROTID, TUMOUR, TOTAL PAROTIDECTOMY WITH RECONSTRUCTION FACIAL NERVE",6B,Existing
287,SF817P,"PAROTID, TUMOR, TOTAL PAROTIDECTOMY WITH RADICAL NECK DISSECTION",6B,Existing
288,SF700R,"RECTUM, PERINEAL RECTOSIGMOIDECTOMY FOR
RECTAL PROLAPSE",5C,Existing
289,SF701R,"RECTUM, RESECTION - RECTOPEXY FOR RECTAL PROLAPSE",5C,Descriptor change
290,SF702R,"RECTUM, STARR - STAPLED HEMORROIDECTOMY",3A,Existing
291,SF703R,"RECTUM, ULTRA-LOW ANTERIOR RESECTION (TOTAL
MESORECTAL EXCISION) WITH/WITHOUT PLND",6C,Existing
292,SF800R,"RECTUM, FOREIGN BODY, MANUAL REMOVAL",MSP,Existing
293,SF801R,"RECTUM, HIRSCHSPRUNG'S DISEASE, ANAL SPHINCTEROTOMY",2C,Existing
294,SF802R,"RECTUM, HIRSCHSPRUNG'S DISEASE, RECTAL MYECTOMY",3B,Existing
295,SF803R,"RECTUM, HIRSCHSPRUNG'S DISEASE, RECTO- SIGMOIDECTOMY",5C,Existing
296,SF804R,"RECTUM, STRICTURE, LASER TREATMENT",1C,Existing
297,SF805R,"RECTUM, TUMOR, ANTERIOR RESECTION/ABDOMINO- PERINEAL RESECTION WITH SALPINGO-OOPHORECTOMY AND TOTAL HYSTERECTOMY",6C,Existing
298,SF806R,"RECTUM, TUMOR, LASER VAPORISATION/ENDOSCOPIC FULGURATION",2C,Existing
299,SF807R,"RECTUM, VARIOUS LESIONS, ABDOMINO-PERINEAL PULL THROUGH RESECTION WITH COLO-ANAL ANASTOMOSIS",6B,Existing
300,SF808R,"RECTUM, VARIOUS LESIONS, HARTMANN'S PROCEDURE",5C,Existing
301,SF809R,"RECTUM, VARIOUS LESIONS, TRANSANAL REMOVAL WITH
BIOPSY",4A,Existing
302,SF700S,SACRAL NERVE STIMULATION,4B,Existing
303,SF701S,"STOMACH, GASTROESOPHAGEAL REFLUX, FUNDOPLICATION, WITH/WITHOUT GASTROTOMY",5C,Descriptor change
304,SF702S,"STOMACH, OBESITY, GASTRIC BANDING (MIS)",5C,Existing
305,SF703S,"STOMACH, OBESITY, SLEEVE GASTRECTOMY",5B,"Descriptor
change"
306,SF704S,"STOMACH, VARIOUS LESIONS, PERCUTANEOUS GASTROSTOMY/ JEJUNOSTOMY INSERTION (WITH OR
WITHOUT IMAGE GUIDANCE)",3A,Descriptor change
307,SF705S,"STOMACH, PARTIAL/SUBTOTAL GASTRECTOMY FOR BENIGN GASTRIC DISEASES",5C,Existing
308,SF706S,"STOMACH, VARIOUS LESIONS, TOTAL/PROXIMAL GASTRECTOMY WITH/WITHOUT SPLENECTOMY",6B,Existing
309,SF707S,"STOMACH, WEDGE RESECTION/STOMACH FOR BENIGN GASTRIC DISEASES",4A,Existing
310,SF708S,"STOMACH, PYLOROMYOTOMY, MIS",3A,Existing
311,SF709S,"STOMACH, TUMOUR, SUBTOTAL GASTRECTOMY AND RADICAL LYMPHADENECTOMY",6B,Existing
312,SF710S,"STOMACH, TUMOUR, TOTAL GASTRECTOMY AND RADICAL LYMPHADENECTOMY",6B,Existing
313,SF711S,"STOMACH, VARIOUS LESIONS, IMAGING GUIDED
INSERTION OF NASO-GASTRIC TUBE/NASO-JEJUNAL TUBE",1C,Existing
314,SF712S,"STOMACH/DUODENUM, PERFORATED ULCER, REPAIR",4B,Descriptor change
315,SF713S,"STOMACH, OBESITY, BILIOPANCREATIC DIVERSION
WITH/WITHOUT DUODENAL SWITCH",5C,Existing
316,SF800S,"SACRUM & COCCYX, PILONIDAL SINUS/CYST, EXCISION WITH BIOPSY",2C,Existing
317,SF801S,"SACRUM & COCCYX, TUMOR, EXCISION WITH BIOPSY",6B,Existing
318,SF803S,"STOMACH, MORBID OBESITY, BYPASS ONLY",4A,Existing
319,SF804S,"STOMACH, MORBID OBESITY, REDUCTION AND BYPASS",5C,"Descriptor
change"
320,SF805S,"STOMACH, PYLORIC STENOSIS, PYLOROPLASTY",3B,Existing
321,SF806S,"STOMACH, PYLORIC TUMOR (INFANT), PYLOROPLASTY/PYLOROMYOTOMY",3A,Existing
322,SF807S,"STOMACH, TUMOR OF CARDIA, ENDOSCOPIC YAG LASER SURGERY/VAPORISATION",3B,Existing
323,SF808S,"STOMACH, TUMOR/ULCER, GASTROJEJUNOSTOMY",4A,Existing
324,SF809S,"STOMACH, ULCERS, VAGOTOMY - ALL TYPES",5C,Descriptor change
325,SF810S,"STOMACH, VARIOUS LESIONS, PARTIAL/SUBTOTAL GASTRECTOMY",5C,Existing
326,SF811S,"STOMACH, VARIOUS LESIONS/POST-GASTRECTOMY COMPLICATIONS, REVISION GASTRECTOMY",5C,Existing
327,SF812S,"STOMACH, TOTAL/PROXIMAL GASTRECTOMY FOR BENIGN GASTRIC DISEASES",6B,Existing
328,SF813S,"STOMACH, VARIOUS LESIONS, WEDGE RESECTION",4A,Existing
329,SF814S,"STOMACH, VARIOUS LESIONS, PERCUATNEOUS GASTROSTOMY/JEJUNOSTOMY CHANGE (WITH OR
WITHOUT IMAGE GUIDANCE)",1A,New
330,SF701T,"TOOTH, UNERUPTED/PARTIALLY ERUPTED/IMPACTED, SURGICAL EXPOSURE",1C,Existing
331,SF702T,"TOOTH, UNERUPTED/PARTIALLY ERUPTED/IMPACTED, SURGICAL EXPOSURE AND BONDING FOR TRACTION AND
ASSISTED ERUPTION",2C,Existing
332,SF703T,"TEETH (2 OR MORE) UNERUPTED/PARTIALLY
ERUPTED/IMPACTED, SURGICAL EXPOSURE",2B,Existing
333,SF704T,"TEETH (2 TO 3), UNERUPTED/PARTIALLY ERUPTED/IMPACTED, SURGICAL EXPOSURE AND BONDING FOR TRACTION AND ASSISTED ERUPTION",3C,Existing
334,SF705T,"TEETH (4 OR MORE) UNERUPTED/ PARTIALLY ERUPTED/ IMPACTED, SURGICAL EXPOSURE AND BONDING FOR
TRACTION AND ASSISTED ERUPTION",4A,Existing
335,SF706T,MIS REPAIR OF ESOPHAGEAL FISTULA AND ESOPHAGEAL ATRESIA,6B,Existing
336,SF707T,"TONGUE, VARIOUS LESIONS (BENIGN CONDITION), EXCISION BIOPSY <3CM",1B,Existing
337,SF708T,"TOOTH (SINGLE-ROOTED), VARIOUS LESIONS, PERI- RADICULAR SURGERY",2C,Existing
338,SF723T,"TONGUE, TRANSORAL RESECTION OF TONGUE BASE MUSCLE WITH OR WITHOUT LINGUAL TONSIL EXCISION",4C,Existing
339,SF800T,"TEETH (2 TO 3), IMPACTED, EXCISION WITH REMOVAL OF BONE AND TOOTH DIVISION",3C,Existing
340,SF801T,"TEETH (2 TO 3), IMPACTED, EXCISION WITH REMOVAL OF BONE (WITHOUT TOOTH DIVISION)",3B,Existing
341,SF802T,"TEETH (4 OR MORE), IMPACTED, EXCISION WITH REMOVAL OF BONE AND TOOTH DIVISION",4B,Existing
342,SF803T,"TEETH (4 OR MORE), IMPACTED, EXCISION WITH REMOVAL OF BONE (WITHOUT TOOTH DIVISION)",4A,Existing
343,SF804T,"TONGUE, TONGUE TIE, RELEASE",1A,Existing
344,SF805T,"TONGUE, TONGUE TIE, REVISION",1B,Existing
345,SF806T,"TONGUE, TUMOR, GLOSSECTOMY WITH RADICAL NECK
DISSECTION",6B,Existing
346,SF807T,"TONGUE, TUMOR, HEMI-GLOSSECTOMY",4A,Existing
347,SF808T,"TONGUE, TUMOR, TOTAL GLOSSECTOMY",4A,Existing
348,SF809T,"TONGUE, VARIOUS LESIONS, PARTIAL EXCISION",3A,Existing
349,SF810T,"TOOTH (DEEP, I.E. COMPLETELY BURIED IN BONE), EXCISION WITH REMOVAL OF BONE AND TOOTH DIVISION",3A,Existing
350,SF811T,"TOOTH (SUPERFICIAL), UNERUPTED/PARTIALLY ERUPTED/IMPACTED, EXCISION WITH INCISION OF
OVERLYING SOFT TISSUE AND REMOVAL OF TOOTH",MSP,Existing
351,SF812T,"TOOTH (SUPERFICIAL), UNERUPTED/PARTIALLY ERUPTED/IMPACTED, EXCISION WITH REMOVAL OF BONE (WITHOUT TOOTH DIVISION)",1B,Existing
352,SF813T,"TOOTH (SUPERFICIAL), UNERUPTED/PARTIALLY ERUPTED/IMPACTED, EXCISION WITH REMOVAL OF BONE AND TOOTH DIVISION",2C,Existing
353,SF814T,"TOOTH, DISLOCATION, REIMPLANTATION AND TRANSPLANTATION",3A,Existing
354,SF815T,"TOOTH, FRACTURE/DISLOCATION, REMOVAL OF ARCH BAR/DENTAL CAP SPLINT",MSP,Existing
355,SF816T,"TOOTH, SIMPLE UNERUPTED/PARTIALLY
ERUPTED/IMPACTED/FRACTURED, REMOVAL OF MULTIPLE ROOTS",2C,Existing
356,SF817T,"TOOTH, UNERUPTED/PARTIALLY ERUPTED/IMPACTED,
EXCISION WITH RELEASE OF NEUROVASCULAR BUNDLE",4A,Existing
357,SF818T,"TOOTH (MULTIPLE-ROOTED OR MORE THAN 1 TOOTH), VARIOUS LESIONS, PERI-RADICULAR SURGERY",3A,Existing
